date,Unnamed: 0,Unnamed: 0.1,_id,updatetime,suspend,vol,high,amount,code,low,time,close,open,flow,total,percent,settle,wd,close_EMA_5,close_EMA_7,close_EMA_14,close_EMA_21,close_EMA_3,close_EMA_15,close_EMA_30,close_EMA_45,close_EMA_25,close_EMA_50,close_EMA_75,close_EMA_10,close_EMA_20,close_EMA_40,close_EMA_80,close_EMA_5_3,close_EMA_10_3,close_EMA_20_3,close_EMA_40_3,close_EMA_80_3,close_EMA_5_-3,close_EMA_10_-3,close_EMA_20_-3,close_EMA_40_-3,close_EMA_80_-3,close_shift_4,BIAS_5,BIAS_50,CCI,K,D,J,WR,RSI_6,RSI_12,ROC_6,ROC_12,RSI_24,Dea,MACD,close_EMA_26,close_EMA_12,close_MA_5,close_MA_10,close_MA_20,close_MA_30,close_MA_40,close_MA_60,Klength,KUpperlength,KLowerlength,MeanAmplitude,MB,UP,DN,CR_5,OBV,TRIX,TRMA,VR,AR,BR,PSY6,open_shift_1,MACD_shift_1,RSI_12_shift_1,K_shift_1,D_shift_1,close_MA_20_shift_1,close_MA_10_shift_1,close_MA_5_shift_1,close_shift_1,DEA,DEA_shift_1,close_EMA_25#2#1&trend,MACD#0#1&thre,close_EMA_15#close_EMA_25#1&diff,close_EMA_15#2#1&trend,close_EMA_7#close_EMA_15#1&diff,close#close_shift_4#1&diff,K#40#1&thre&HS,close_EMA_7#close_EMA_15#1&diff*close_EMA_15#close_EMA_25#1&diff*close_EMA_15#2#1&trend*close_EMA_25#2#1&trend*MACD#0#1&thre*close#close_shift_4#1&diff*K#40#1&thre&HS,K#40#0&thre&HS,MACD#0#0&thre,MACD#0#0&thre+K#40#0&thre&HS
20150105,1034,1034,300122XSHE20150105,20200210005245,0,36731,20.18,72087992.0,300122.XSHE,19.37,1500,19.69,19.92,32145.125,80000.0,-1.1546184739,19.92,2.0,19.911360895740554,20.003563698888346,20.670388136119584,21.516682928045935,19.831273355484008,20.79072066004523,22.45415396979784,23.529460465963602,21.962865028833708,23.79602603675508,24.902168976111994,20.23407591681867,21.39880179286088,23.225802145587988,25.116358113747662,20.50870172261277,20.841098194323234,22.040765846646703,23.922576209955636,25.86984885716009,19.314020068868338,19.62705363931411,20.75683773907505,22.52902808122035,24.36286737033523,20.99,-2.2149384187524728,-21.59314447727437,-22.328751369444095,45.52876311943734,41.779192884669534,53.02790358897295,66.66666666666664,50.0,39.94126284875185,-0.8060453400503785,-9.967992684042065,25.24096385542169,-1.7455576372949049,0.23654345428139,22.067221834693107,20.43993592453889,20.136,19.815,20.9165,23.24766666666667,24.41325,25.578833333333346,-0.23000000000000045,0.259999999999998,0.3200000000000003,0.05868994186639988,21.3275,24.20326268144643,18.45173731855356,118.45293569431549,878667,-0.2758638033062874,-0.2424418146674346,0.4601911659731532,0.6080536912751671,0.439039039039039,33.33333333333333,20.0,0.18802779686043314,36.80649526387011,46.752264176011344,39.90440776728562,21.3275,19.934,20.136000000000006,19.92,-1.745557637294905,-1.7751255690800791,0,1,0,0,0,0,1,0,0,0,0
20150106,1035,1035,300122XSHE20150106,20200210005245,0,46183,20.55,92694072.0,300122.XSHE,19.51,1500,20.49,19.68,32145.125,80000.0,4.06297613,19.69,3.0,20.10424059716037,20.125172774166256,20.64633638463697,21.4233481164054,20.160636677742005,20.753130577539576,22.327434358843142,23.39731001092171,21.849567718923424,23.66637795688233,24.78605926621431,20.280607568306184,21.312249241159844,23.09234838238858,25.00212704921068,20.70736781507518,20.88902579535537,21.951616718394643,23.78511883386024,25.752190860686998,19.50111337924556,19.672189341257,20.672881763925048,22.39957793091692,24.25206323773436,20.38,2.2659213415851496,-17.922464969836827,-2.25649256009038,52.46361985740265,45.340668542247236,66.70952248771347,45.8852867830424,40.157480314960615,47.37550471063257,4.062976130015222,-2.706552706552708,28.67816091954023,-1.6969966093727948,0.3884882233768865,21.9503905876788,20.44763808999445,20.036,19.843,20.685,23.000333333333334,24.22775,25.45516666666667,0.8099999999999987,0.060000000000002274,0.16999999999999815,0.059163906187828214,20.9165,23.05148009358401,18.78151990641599,82.49534450651797,924850,-0.060171944250499834,-0.1680178737783936,0.6968012006799029,0.6589250165892495,0.4854426619132501,50.0,19.92,0.23654345428139,39.94126284875185,45.52876311943734,41.779192884669534,20.9165,19.815,20.136,19.69,-1.6969966093727948,-1.745557637294905,0,1,0,0,0,1,1,0,0,0,0
20150107,1036,1036,300122XSHE20150107,20200210005245,0,36528,20.57,73541448.0,300122.XSHE,20.0,1500,20.13,20.5,32145.125,80000.0,-1.756954612,20.49,4.0,20.11282706477358,20.126379580624693,20.57749153335204,21.305771014914,20.145318338871,20.67523925534713,22.185664400208093,23.255253053925113,21.71729327900624,23.52769646837714,24.66353139078761,20.25322437406869,21.199654075335093,22.947843583247675,24.88182761589684,20.71621187671679,20.860821105290754,21.83564369759515,23.63627889074511,25.628282444373745,19.50944225283037,19.645627642846637,20.563664453075045,22.259408275750246,24.13537278741993,19.7,0.7205043530471426,-18.85878284143404,5.4532675234517285,48.79341038926557,46.49158249125335,53.39706618529,47.988505747126474,44.54148471615721,49.438202247191,-4.097189137684609,-3.5919540229885065,28.096846846846837,-1.6409525172801498,0.4483527367411604,21.81554684044333,20.398770691533766,19.986,19.991,20.561,22.741000000000003,24.03325,25.32550000000001,-0.37000000000000105,0.07000000000000027,0.129999999999999,0.05073544720339857,20.685,22.638744097879762,18.73125590212024,89.6694214876033,888322,0.0303077773717124,-0.014932083439393718,0.7070290998495468,0.6422607578676937,0.4763279445727484,33.33333333333333,19.68,0.3884882233768865,47.37550471063257,52.46361985740265,45.340668542247236,20.685,19.843,20.036,20.49,-1.6409525172801498,-1.6969966093727948,0,1,0,0,0,1,1,0,0,0,0
20150108,1037,1037,300122XSHE20150108,20200210005245,0,25281,20.43,51138484.0,300122.XSHE,19.92,1500,20.15,20.01,32145.125,80000.0,0.0993541977,20.13,4.0,20.125218043182386,20.13228468546852,20.52049266223844,21.20070092264909,20.1476591694355,20.609584348428736,22.054331213097893,23.120242051580547,21.596732257544218,23.39523778334274,24.544754248924786,20.2344563060562,21.099687020541282,22.811363408455104,24.76499236612161,20.728974584477857,20.841489995237893,21.732677631157518,23.49570431070876,25.507942137105257,19.521461501886915,19.627422616874515,20.46669640992504,22.12702250620145,24.022042595137965,19.92,0.3685993225742084,-18.266851631012376,7.1558249308716055,44.93204103470414,45.971735339070285,42.85265242597188,42.45283018867929,63.80368098159508,63.44086021505376,-1.128557409224732,-0.2968827313211393,28.177727784026988,-1.5790969584158883,0.4948444709140945,21.69217300041049,20.360498277451647,20.076,20.099,20.5095,22.48233333333333,23.83925,25.19616666666667,0.13999999999999702,0.28000000000000114,0.08999999999999986,0.0489665170115105,20.561,22.50101520612597,18.62098479387403,109.52380952380976,863041,0.06615245049016343,0.04823011393093792,0.9095028882056956,0.6653895274584922,0.4877353108956077,50.0,20.5,0.4483527367411604,49.438202247191,48.79341038926557,46.49158249125335,20.561,19.991,19.986,20.13,-1.5790969584158883,-1.6409525172801498,0,1,0,0,0,1,1,0,0,0,0
20150109,1038,1038,300122XSHE20150109,20200210005245,0,35795,20.42,72743944.0,300122.XSHE,19.95,1500,20.39,20.0,32145.125,80000.0,1.1910669975,20.15,4.0,20.213478695454928,20.19671351410139,20.50309364060665,21.127000838771906,20.26882958471775,20.582136304875146,21.946955005801254,23.00153587542487,21.503906699271585,23.277385321250872,24.435418610795182,20.262736977682348,21.032097780489725,22.693248120237783,24.65696786325441,20.819883056318574,20.87061908701282,21.663060713904425,23.374045563844923,25.39667689915204,19.607074334591275,19.65485486835188,20.401134847075035,22.01245067663065,23.91725882735677,19.69,1.0907288051561668,-16.785699710239598,17.973253138313485,45.91713533769008,45.95353533861022,45.84433533584985,34.90566037735848,64.24242424242422,62.22222222222222,3.502538071065996,9.329758713136739,34.471437951411694,-1.5094133141573658,0.5574691540681771,21.595715741120824,20.365037003997546,20.17,20.153,20.4315,22.23166666666667,23.65125,25.07083333333334,0.39000000000000057,0.030000000000001137,0.05000000000000071,0.04573000679449545,20.5095,22.33355345316413,18.685446546835863,120.4213938411668,898836,0.14980136610755504,0.10797690829885924,1.3469076464380676,0.6900063653723736,0.4974619289340105,66.66666666666666,20.01,0.4948444709140945,63.44086021505376,44.93204103470414,45.971735339070285,20.5095,20.099,20.076,20.15,-1.5094133141573658,-1.5790969584158883,0,1,0,0,0,1,1,0,0,0,0
20150112,1039,1039,300122XSHE20150112,20200210005245,0,40102,20.67,82339608.0,300122.XSHE,20.1,1500,20.63,20.3,32145.125,80000.0,1.1770475723,20.39,4.0,20.35231913030328,20.305035135576038,20.520014488525764,21.081818944338085,20.449414792358876,20.588119266765755,21.8619901667173,22.898425619971608,21.436683107019924,23.17356628904495,24.33527601577425,20.329512072649194,20.993802753776414,22.59260187047009,24.557536557988865,20.962888704212386,20.939397434828674,21.623616836389715,23.27037992658419,25.29426265472853,19.741749556394183,19.71962671046972,20.363988671163124,21.914823814355984,23.8208104612492,20.49,1.3360840947047945,-15.302946948360724,42.01020277834126,54.888880205858854,48.9319836276931,66.80267336219035,27.35849056603777,78.3132530120482,58.024691358024675,3.564257028112436,8.180388044048236,42.361111111111114,-1.4312067913127848,0.625652182756645,21.524181241778546,20.405800541844076,20.358,20.247000000000003,20.388,21.989,23.46925,24.94950000000001,0.3299999999999983,0.0400000000000027,0.1999999999999993,0.044429997218042985,20.4315,22.19193858171764,18.671061418282363,170.0854700854697,938938,0.2808634299360205,0.21533239802178775,1.2747104878734394,0.7045883092394715,0.5049944506104334,66.66666666666666,20.0,0.5574691540681771,62.22222222222222,45.91713533769008,45.95353533861022,20.4315,20.153,20.17,20.39,-1.4312067913127848,-1.5094133141573658,0,1,0,0,0,1,1,0,0,0,0
20150113,1040,1040,300122XSHE20150113,20200210005245,0,32229,20.66,65734896.0,300122.XSHE,20.25,1500,20.47,20.61,32145.125,80000.0,-0.7755695589,20.63,4.0,20.39154608686885,20.346276351682032,20.513345890055657,21.02619904030736,20.459707396179443,20.573354358420037,21.772184349509725,22.79284189736416,21.3623228680184,23.06754408163142,24.233558225885464,20.355055332167524,20.94391677722628,22.489060315813013,24.456609729396554,21.00329246947492,20.965706992132553,21.57223428054307,23.1637321252874,25.190308021278444,19.779799704262786,19.7444036722025,20.315599273909488,21.81438850633862,23.72291143751465,20.13,0.5699125479021306,-15.443272225572786,52.29411274877175,60.55772841610633,52.807231890497505,76.05872146732398,34.33333333333337,49.01960784313727,58.024691358024675,3.9614017267648425,3.123425692695201,46.96321642429426,-1.351048705215661,0.6412646887769933,21.446093742387546,20.41567738156038,20.354,20.195,20.321,21.741,23.28325,24.8255,-0.14000000000000054,0.05000000000000071,0.21999999999999886,0.03690458150492863,20.388,22.024495035128428,18.751504964871565,109.95850622406616,906709,0.3064849937233449,0.2936742118296827,0.9410509083905758,0.6920712968653959,0.4961956521739136,66.66666666666666,20.3,0.625652182756645,58.024691358024675,54.888880205858854,48.9319836276931,20.388,20.247000000000003,20.358,20.63,-1.351048705215661,-1.4312067913127848,0,1,0,0,0,1,1,0,0,0,0
20150114,1041,1041,300122XSHE20150114,20200210005245,0,31592,20.69,64517924.0,300122.XSHE,20.16,1500,20.2,20.46,32145.125,80000.0,-1.3190034196,20.47,1.0,20.327697391245906,20.30970726376152,20.471566438048235,20.95109003664305,20.329853698089718,20.52668506361753,21.670753101154265,22.68010964095702,21.272913416632363,22.95509137254784,24.12741195678321,20.32686345359161,20.873067560347586,22.377398836992864,24.35150825459663,20.937528312983282,20.93666935719936,21.49925958715801,23.048720802102647,25.08205350223453,19.717866469508525,19.71705754998386,20.24687553353716,21.706076871883077,23.620963006958732,20.15,-0.8248232521602651,-16.02367965943866,44.42915778129228,61.331414903666804,55.64862622822061,72.69699225455918,55.55555555555559,53.76344086021507,39.686684073107045,-1.4153245485602692,2.5901472828847028,42.18051831992851,-1.275097815427525,0.6076071183050891,21.35379050221069,20.3824962459357,20.368,20.177,20.221,21.484,23.0905,24.69700000000001,-0.2600000000000016,0.23000000000000045,0.03999999999999915,0.03521038509804554,20.321,21.71201258082017,18.929987419179824,99.59919839679395,875117,0.19511832958614467,0.2508016616547448,0.9425750214002389,0.8983580922595771,0.5251256281407044,50.0,20.61,0.6412646887769933,58.024691358024675,60.55772841610633,52.807231890497505,20.321,20.195,20.354,20.47,-1.2750978154275248,-1.351048705215661,0,1,0,0,0,1,1,0,0,0,0
20150115,1042,1042,300122XSHE20150115,20200210005245,0,40198,20.67,82044624.0,300122.XSHE,20.13,1500,20.42,20.2,32145.125,80000.0,1.0891089109,20.2,2.0,20.35846492749727,20.33728044782114,20.464690912975136,20.90280912422096,20.374926849044858,20.513349430665343,21.590059352692705,22.581844004393677,21.207304692276033,22.855676024604783,24.029848484236283,20.34379737112041,20.829918268885912,22.281915966895646,24.25443397670536,20.969218875322188,20.954111292254023,21.45481581695249,22.950373445902517,24.982066996006516,19.747710979672352,19.7334834499868,20.205020720819327,21.613458487888774,23.526800957404195,20.39,-0.009793360101845516,-14.577110681626166,101.06069534472648,67.40276145092939,59.56667130245687,83.07494174787449,50.232558139534824,61.946902654867365,50.58139534883724,1.4406358668653885,-2.715578847070018,45.072992700729934,-1.1993492085674142,0.605988854880882,21.284620835380267,20.388266054253293,20.422,20.248999999999995,20.1485,21.23433333333333,22.90325,24.57216666666667,0.2200000000000024,0.25,0.07000000000000027,0.031509673642669364,20.221,21.394870095027553,19.047129904972447,120.56892778993458,915315,0.15084768793430314,0.1729830087602239,0.753766642955604,1.0491228070175431,0.7329376854599422,66.66666666666666,20.46,0.6076071183050891,39.686684073107045,61.331414903666804,55.64862622822061,20.221,20.177,20.368,20.2,-1.1993492085674144,-1.2750978154275248,0,1,0,0,0,1,1,0,0,0,0
20150116,1043,1043,300122XSHE20150116,20200210005245,0,32625,20.63,66892932.0,300122.XSHE,20.35,1500,20.49,20.63,32145.125,80000.0,0.34280117530000004,20.42,2.0,20.402309951664847,20.37546033586585,20.468065457911788,20.86528102201905,20.432463424522428,20.51043075183217,21.51908778155123,22.490894265072207,21.1521274082548,22.76290441579675,23.936694576756377,20.370379667280336,20.79754510042059,22.19450543192513,24.161484989626214,21.014379250214795,20.981491057298747,21.4214714534332,22.86034059488289,24.886329539315,19.7902406531149,19.759268277261924,20.173618747407968,21.52867026896737,23.43664043993743,20.63,0.23481068388610835,-13.748831883887224,999.8333333333117,72.61879011982856,63.917377574914106,90.02161520965748,47.41784037558695,55.20833333333324,63.957597173144855,1.6873449131513645,0.5397448478900856,43.84328358208955,-1.1238478873014288,0.6040105701278873,21.225760032759503,20.40391743052202,20.442,20.305999999999997,20.12,20.987,22.71775,24.448500000000006,-0.14000000000000054,0.0,0.13999999999999702,0.028257720000869367,20.1485,21.2584008964768,19.0385991035232,135.3535353535359,882690,0.14895907705959452,0.14990338249694884,0.7626209644628771,1.0451612903225798,0.9654561558901698,66.66666666666666,20.2,0.605988854880882,50.58139534883724,67.40276145092939,59.56667130245687,20.1485,20.248999999999995,20.422,20.42,-1.1238478873014286,-1.1993492085674144,0,1,0,0,0,0,1,0,0,0,0
