date,Unnamed: 0,_id,updatetime,suspend,vol,high,amount,code,low,time,close,open,flow,total,percent,settle,wd,close_EMA_5,close_EMA_7,close_EMA_14,close_EMA_21,close_EMA_3,close_EMA_15,close_EMA_30,close_EMA_45,close_EMA_25,close_EMA_50,close_EMA_75,close_EMA_10,close_EMA_20,close_EMA_40,close_EMA_80,close_EMA_5_3,close_EMA_10_3,close_EMA_20_3,close_EMA_40_3,close_EMA_80_3,close_EMA_5_-3,close_EMA_10_-3,close_EMA_20_-3,close_EMA_40_-3,close_EMA_80_-3,close_shift_4,BIAS_5,BIAS_50,CCI,K,D,J,WR,RSI_6,RSI_12,ROC_6,ROC_12,RSI_24,Dea,MACD,close_EMA_26,close_EMA_12,close_MA_5,close_MA_10,close_MA_20,close_MA_30,close_MA_40,close_MA_60,Klength,KUpperlength,KLowerlength,MeanAmplitude,MB,UP,DN,CR_5,OBV,TRIX,TRMA,VR,AR,BR,PSY6,close_EMA_7#close_EMA_15#1&diff,close_EMA_25#2#1&trend,close_EMA_15#2#1&trend,close#close_shift_4#1&diff,close_EMA_15#close_EMA_25#1&diff,K#40#1&thre&HS,MACD#0#1&thre,close_EMA_7#close_EMA_15#1&diff*close_EMA_15#close_EMA_25#1&diff*close_EMA_15#2#1&trend*close_EMA_25#2#1&trend*MACD#0#1&thre*close#close_shift_4#1&diff*K#40#1&thre&HS,K#40#0&thre&HS,MACD#0#0&thre,MACD#0#0&thre+K#40#0&thre&HS
20150105,934,002555XSHE20150105,20200210005109,0,15673,42.34,64099912.0,002555.XSHE,40.0,1500,40.0,42.06,5890.0,32485.486328125,-6.4108563407000005,42.74,1.0,42.64419324876845,43.23587410291106,43.98997823369028,43.790127922606594,41.7602052879769,43.9902614526949,43.38239211876883,43.00797197690367,43.59829575466192,42.95001517844224,42.818720219354326,43.76708447354497,43.83623808160213,43.092777444538925,42.794790029373935,43.92351904623151,45.08009700775132,45.15132522405019,44.38556076787509,44.078633730255156,41.3648674513054,42.45407193933862,42.52115093915406,41.79999412120276,41.510946328492714,45.68,-7.821357791399744,-3.3274685330910145,648.2098090891585,21.44197148853984,30.851046761178512,2.6238209432625013,100.0,18.624641833810852,17.336394948335258,-8.067111008963453,-21.691464369616288,56.21581302834411,1.2165736106496874,-1.6730443431387516,43.55184232159441,43.931893760674726,43.39400000000001,43.97000000000001,45.790000000000006,42.555,40.97975,42.12833333333332,-2.0600000000000023,0.28000000000000114,0.0,0.07738195720830511,45.90750000000001,51.82758108052585,39.98741891947417,36.10656695489602,56238,-1.2471129940963153,-1.0190169844981911,0.27677257905513003,0.6190832087693069,1.3177603423680446,33.33333333333333,0,0,0,0,1,1,0,0.0,0,1,1.0
20150106,935,002555XSHE20150106,20200210005109,0,13299,42.38,54644172.0,002555.XSHE,39.59,1500,41.9,40.2,5890.0,32485.486328125,4.75,40.0,2.0,42.3961288325123,42.9019055771833,43.71131446919824,43.61829811146053,41.830102643988454,43.728978771108046,43.28675391755794,42.95979928225568,43.46765761968792,42.90883811262098,42.794543371476585,43.427614569264065,43.651834454782865,43.03459317895165,42.77269644840174,43.66801269748767,44.73044300634199,44.96138948842636,44.32563097432021,44.05587734185379,41.12424496753693,42.12478613218615,42.342279421139395,41.74355538358311,41.489515554949676,44.85,-1.7308504151226758,1.3379511836466105,-919.9992380516917,24.68601068196851,28.796034734775176,16.46596257635518,83.85744234800842,25.065963060686002,27.89115646258503,-5.588102748986038,-18.450759050214092,58.19088319088318,1.0112211064127463,-1.642820033895529,43.42948363110594,43.61929472057092,42.63800000000001,43.36,45.5555,42.785,41.027,42.03049999999999,1.6999999999999955,0.4800000000000039,0.6099999999999994,0.07510316842548888,45.790000000000006,51.932134726623964,39.64786527337604,25.50281576830257,42939,-1.2759997551974185,-1.261556374646867,0.2893076514749374,0.6633128834355824,1.3824253075571171,33.33333333333333,0,0,0,0,1,1,0,0.0,0,1,1.0
20150107,936,002555XSHE20150107,20200210005109,0,8404,41.9,34531720.0,002555.XSHE,40.0,1500,41.07,41.64,5890.0,32485.486328125,-1.9809069212000001,41.9,2.0,41.95408588834153,42.443929182887466,43.35913920663847,43.38663464678231,41.450051321994216,43.39660642471954,43.14373753578001,42.87763409607066,43.283222418173466,42.836726814086816,42.74916065117457,42.99895737485242,43.40594545908927,42.93875936534426,42.73065456078688,43.21270846499178,44.288926096097995,44.70812382286196,44.226922146304595,44.01257419761049,40.69546331169129,41.70898865360685,42.10376709531658,41.65059658438393,41.44873492396327,43.7,-1.93878038298075,-0.5337802491620449,-197.03631961259018,23.34747080846317,26.979846759337846,16.082718906713815,88.06451612903228,25.065963060686002,29.338103756708414,-10.091943957968477,-17.364185110663993,53.2572877059569,0.8034545785205867,-1.6621322231372777,43.25470706583884,43.227095532790784,41.882,43.04899999999999,45.32899999999999,42.98733333333333,41.0885,41.926666666666655,-0.5700000000000003,0.259999999999998,1.0700000000000005,0.0692042918042602,45.5555,52.00097562248125,39.11002437751876,42.42259641499195,34535,-1.242803383803211,-1.259401569500315,0.2942682823358813,0.6437839112998344,1.295881383855024,16.666666666666664,0,0,0,0,1,1,0,0.0,0,1,1.0
20150108,937,002555XSHE20150108,20200210005109,0,8457,42.98,35706488.0,002555.XSHE,40.6,1500,42.4,41.06,5890.0,32485.486328125,3.2383735086,41.07,3.0,42.102723925561016,42.432946887165606,43.231253979086674,43.296940587983904,41.92502566099711,43.272030621629604,43.09575446895549,42.8568673962415,43.21528223216013,42.819600272357924,42.739972212985776,42.890056033970154,43.31014112965219,42.91247842069332,42.72249025064399,43.36580564332785,44.17675771498927,44.609445363541745,44.19985277331411,44.004164958163315,40.83964220779419,41.603354352951065,42.010836895762615,41.625104068072524,41.44081554312467,42.74,1.8692037864590807,2.8103101282703724,-69.68089705404425,28.64691722426407,27.53553691431325,30.86967784416571,76.30691399662736,41.62371134020616,43.76750700280111,-5.462653288740251,-11.66666666666667,50.067695640400764,0.624454589791536,-1.4319999098324052,43.19139543133225,43.09985006620759,41.622,43.023,45.275,43.23400000000001,41.2355,41.84333333333335,1.3399999999999963,0.5799999999999983,0.4600000000000009,0.06380015289104554,45.32899999999999,51.853150519416296,38.8048494805837,41.40929535232397,42992,-0.934852180829972,-1.0888277823165915,0.3891588597765643,0.6816802800466738,1.338092147955872,33.33333333333333,0,0,0,0,1,1,0,0.0,0,1,1.0
20150109,938,002555XSHE20150109,20200210005109,0,16223,45.96,72140200.0,002555.XSHE,41.61,1500,43.12,42.3,5890.0,32485.486328125,1.6981132075,42.4,4.0,42.44181595037401,42.604710165374215,43.216420115208436,43.28085507998537,42.52251283049856,43.2530267939259,43.09731869676481,42.868307944231,43.20795282968628,42.831380653834074,42.749972944222975,42.93186402779377,43.292032450637684,42.92260142456194,42.73230530618365,43.715070428885234,44.219819948627595,44.59079342415682,44.2102794672988,44.014274465369155,41.16856147186279,41.64390810695996,41.99327147711856,41.63492338182508,41.45033614699814,40.0,3.410235502901811,4.5754170163022865,1.3407167028887783,35.531836808727235,30.20097021245125,46.19357000127921,67.00934579439257,52.526595744680826,51.70623145400594,-1.3272311212814767,-2.3992756903576327,44.8069440287339,0.4829323068649497,-1.132178263412691,43.1861068808632,43.10295005602181,41.698,42.983999999999995,45.137,43.50466666666666,41.391000000000005,41.77616666666667,0.8200000000000003,2.8400000000000034,0.6899999999999977,0.06402847670631162,45.275,51.85861329362532,38.69138670637468,131.35771332492675,59215,-0.5045560353593438,-0.719704108094658,0.6094475968766672,0.7549379880569586,1.4172730148687118,50.0,0,0,0,1,1,1,0,0.0,0,1,1.0
20150112,939,002555XSHE20150112,20200210005109,0,13351,44.5,57649216.0,002555.XSHE,42.12,1500,42.5,43.2,5890.0,32485.486328125,-1.4378478663999998,43.12,4.0,42.461210633582674,42.57853262403066,43.120897433180644,43.209868254532154,42.51125641524928,43.15889844468517,43.058782006650965,42.85229455535138,43.1534949197104,42.818385334075884,42.74339470884868,42.85334329546763,43.2166007886722,42.901986720924775,42.72656937269763,43.73504695259015,44.138943594331664,44.513098812332366,44.18904632255252,44.00836645387857,41.1873743145752,41.567742996603606,41.92010276501203,41.61492711929703,41.444772291516706,41.9,0.7156737286127295,3.1057889654971302,-3.1312804929747933,37.7255178338934,32.70915275293196,47.75824799581626,65.3983353151011,73.14814814814818,46.18867924528303,-0.5615348619560178,-0.3750586029066961,45.30871670702179,0.3613267174907835,-0.9728447149933293,43.13528414894741,43.01018850894154,42.198,42.79600000000001,44.961999999999996,43.75466666666667,41.566,41.67200000000001,-0.7000000000000028,1.2999999999999972,0.38000000000000256,0.06609084714344547,45.137,51.80507798394711,38.4689220160529,195.81993569131836,45864,-0.25726522654165296,-0.3809106309504984,0.6198857526218688,0.7658000896458979,1.1819440598172246,50.0,0,0,0,1,1,1,0,0.0,0,1,1.0
20150113,940,002555XSHE20150113,20200210005109,0,6778,43.7,29348578.0,002555.XSHE,42.5,1500,43.07,42.5,5890.0,32485.486328125,1.3411764706,42.5,4.0,42.664140422388456,42.70139946802299,43.11411110875656,43.19715295866559,42.79062820762464,43.14778613909952,43.05950574815735,42.861760009466536,43.14707223357885,42.82825257587681,42.751989584931614,42.89273542356442,43.20263880879865,42.910182490635755,42.735049141272995,43.9440646350601,44.179517486271365,44.49871797306262,44.197487965354846,44.01710061551121,41.3842162097168,41.60595336085749,41.9065596445347,41.622877015916686,41.452997667034815,41.07,1.5035822021116094,4.503324113165396,2.313307930629273,41.937610056170115,35.78530518734468,54.24221979382101,53.036437246963594,64.37346437346442,44.94208494208493,7.6750000000000025,-1.011261778901397,49.34899968243888,0.2668497721394802,-0.7558155628104263,43.1304482860624,43.019390276796685,42.431999999999995,42.535,44.8205,44.023666666666664,41.76775,41.63399999999999,0.5700000000000003,0.6300000000000026,0.0,0.0650460109565189,44.961999999999996,51.66447260345016,38.25952739654984,199.6319018404906,39086,-0.034836817177649186,-0.14605102185965108,0.5324934144969861,0.7926938592559384,1.0017517517517514,66.66666666666666,0,0,0,1,1,1,0,0.0,0,1,1.0
20150114,941,002555XSHE20150114,20200210005109,0,10421,45.1,45998504.0,002555.XSHE,43.08,1500,43.8,43.1,5890.0,32485.486328125,1.6949152541999999,43.07,4.0,43.042760281592294,42.976049601017245,43.20556296092236,43.25195723515053,43.29531410381232,43.229312871712075,43.10727957085689,42.902553052533214,43.19729744638046,42.866360317999295,42.77956880638079,43.057692619279976,43.259530350817826,42.953588222799866,42.76134422420453,44.334043090040076,44.34942339785838,44.557316261342365,44.24219586948387,44.04418455093067,41.75147747314453,41.76596184070159,41.961744440293295,41.664980576115866,41.4785038974784,42.4,1.9126064498115383,6.243632659001559,30.932539206032885,49.98875730589256,40.519789226860645,68.9266934639564,41.20111731843581,84.38287153652395,42.407108239095294,4.5346062052505935,-1.3068949977467448,46.51240778001341,0.20536769192145826,-0.4918566417441755,43.180044709317045,43.13948408036641,42.978,42.43,44.486,44.317,41.98775,41.631,0.6999999999999957,1.3000000000000045,0.02000000000000313,0.059869700270976524,44.8205,51.00558011265821,38.63541988734179,367.4881516587675,49507,0.21591263609952305,0.09053790946093693,0.5443818506496709,0.8784673248707091,0.8985507246376808,66.66666666666666,0,0,0,1,1,1,0,0.0,0,1,1.0
20150115,942,002555XSHE20150115,20200210005109,0,9566,45.16,42700772.0,002555.XSHE,43.44,1500,44.82,43.5,5890.0,32485.486328125,2.3287671233,43.8,4.0,43.63517352106153,43.43703720076293,43.420821232799376,43.39450657740958,44.057657051906155,43.42814876274807,43.217777663059664,42.985920311118726,43.32212071973582,42.942973638862064,42.833264364107606,43.37811214304725,43.40814650788281,43.04463269973647,42.812175231014294,44.94422872669339,44.67945550733867,44.71039090311929,44.33597168072856,44.09654048794473,42.32611831542969,42.07676877875585,42.10590211264632,41.75329371874437,41.527809974083866,43.12,3.124568588652149,8.590838829099031,51.15507672216753,60.69370842894146,47.244428960887575,87.59226736504921,26.95530726256984,83.06010928961754,49.88066825775657,9.130752373995618,-1.882661996497372,48.07942708333333,0.1835945759535694,-0.17418492774311084,43.30152287899727,43.39802499107928,43.461999999999996,42.542,44.173,44.64433333333332,42.23325,41.651,1.3200000000000005,0.3399999999999963,0.060000000000002274,0.055240453561279865,44.486,49.88872931026533,39.083270689734675,327.08142726441,39941,0.5228911068776378,0.3694018714885805,0.6997989580405976,0.8704057279236266,0.9369747899159662,83.33333333333334,1,0,0,1,1,1,0,0.0,0,1,1.0
20150116,943,002555XSHE20150116,20200210005109,0,16591,46.52,75944304.0,002555.XSHE,44.46,1500,45.92,44.55,5890.0,32485.486328125,2.4542614904,44.82,4.0,44.39678234737436,44.05777790057221,43.754045068426116,43.624096888554156,44.988828525953075,43.73963016740456,43.392114588023546,43.11348899324401,43.52195758744843,43.059719770671386,42.914494249262674,43.84027357158411,43.64737064998921,43.18489451926152,42.88891164506333,45.72868581779559,45.15548177873164,44.95679176948888,44.480441354839364,44.175578994415226,43.06487887695314,42.525065364436585,42.33794953048953,41.88934768368368,41.60224429571143,42.5,4.311480623324692,10.992405528349959,114.16070007955416,70.9098027332914,55.132886885022195,102.46363442982985,11.592178770949705,84.65346534653472,58.865814696485614,8.301886792452839,2.385730211817169,50.031525851198,0.20498306057848828,0.17110787699935076,43.495484147219685,43.786021146297855,44.02200000000001,42.86,43.9,44.89166666666666,42.50625,41.67533333333334,1.3700000000000043,0.6000000000000014,0.0899999999999963,0.05415796223131943,44.173,48.54491033759843,39.80108966240157,299.574014909478,56532,0.8616570352727803,0.6922740710752091,1.074083856058105,0.9978941826796516,1.061379684953829,83.33333333333334,1,1,1,1,1,1,1,1.0,0,0,0.0
