time operation trade_price
20170407 noo 5.76
20170410 noo 5.69
20170411 noo 5.72
20170412 long 5.8
20170413 long 5.8
20170414 long 5.78
20170417 long 5.8
20170418 noo 5.71
20170419 long_sell 5.71
20170517 noo 5.49
20170518 noo 5.53
20170519 noo 5.55
20170522 noo 5.59
20170523 noo 5.65
20170524 noo 5.66
20170525 noo 5.64
20170526 noo 5.66
20170531 long 5.72
20170601 long 5.79
20170602 long 5.77
20170605 long 5.74
20170606 noo 5.7
20170607 noo 5.71
20170608 noo 5.68
20170609 noo 5.69
20170612 long 5.72
20170613 long 5.72
20170614 long 5.75
20170615 long_sell 5.45
20170710 noo 5.42
20170711 noo 5.45
20170712 noo 5.42
20170713 noo 5.43
20170714 noo 5.46
20170717 noo 5.46
20170718 noo 5.44
20170719 noo 5.52
20170720 noo 5.58
20170721 noo 5.55
20170724 noo 5.56
20170725 long 5.55
20170726 noo 5.55
20170727 noo 5.54
20170728 noo 5.53
20170731 noo 5.54
20170801 noo 5.54
20170802 noo 5.45
20170803 long_sell 5.44
20170821 noo 5.47
20170822 noo 5.45
20170823 noo 5.44
20170824 noo 5.41
20170825 noo 5.45
20170828 noo 5.48
20170829 noo 5.52
20170830 noo 5.49
20170831 noo 5.47
20170901 long 5.53
20170904 noo 5.49
20170905 noo 5.47
20170906 long 5.48
20170907 noo 5.49
20170908 noo 5.47
20170911 noo 5.46
20170912 noo 5.46
20170913 long_sell 5.44
20171012 noo 5.4
20171013 noo 5.38
20171016 noo 5.33
20171024 noo 5.37
20171025 noo 5.38
20171026 noo 5.37
20171027 noo 5.35
20171030 noo 5.37
20171031 noo 5.35
20171101 noo 5.33
20171102 noo 5.36
20171103 noo 5.37
20171106 noo 5.35
20171107 noo 5.36
20171108 noo 5.4
20171109 noo 5.39
20171110 noo 5.37
20171113 noo 5.37
20171114 noo 5.31
20171117 noo 5.42
20171120 noo 5.42
20171121 long 5.45
20171122 long 5.45
20171123 noo 5.42
20171124 long 5.43
20171127 long_sell 5.44
