time operation sell_price hold_day buy_price buy_date
20150119 sell 17.21 6 17.89 20150109
20150202 sell 18.21 7 18.82 20150122
20150303 sell 18.6 5 18.91 20150217
20150429 sell 25.51 33 19.34 20150312
20150603 sell 29.55 9 29.0 20150521
20150819 sell 24.1 4 27.95 20150813
20151113 sell 26.17 18 22.79 20151020
20151117 sell 25.73 1 27.0 20151116
20151208 sell 26.0 1 26.96 20151207
20160104 sell 26.17 9 27.4 20151221
20160302 sell 28.93 11 27.3 20160216
20160309 sell 27.02 4 28.4 20160303
20160310 sell 27.77 5 28.4 20160303
20160324 sell 28.6 7 28.65 20160315
20160408 sell 30.36 9 30.43 20160325
20160426 sell 35.18 11 31.86 20160411
20160427 sell 33.91 12 31.86 20160411
20160428 sell 33.64 13 31.86 20160411
20160429 sell 33.57 14 31.86 20160411
20160622 sell 34.0 14 33.8 20160531
20160802 sell 39.8 22 34.85 20160701
20170303 sell 36.68 16 34.76 20170209
20170313 sell 38.99 5 38.88 20170306
20170317 sell 38.87 3 38.55 20170314
20170327 sell 38.4 3 40.3 20170322
20170419 sell 43.6 9 40.99 20170406
20170922 sell 38.56 1 38.49 20170921
20170925 sell 38.89 2 38.49 20170921
20170926 sell 37.79 3 38.49 20170921
20170927 sell 38.32 4 38.49 20170921
20170928 sell 37.97 5 38.49 20170921
20170929 sell 37.86 6 38.49 20170921
20171009 sell 41.0 7 38.49 20170921
20171024 sell 40.05 9 40.87 20171011
20171031 sell 41.58 3 41.89 20171026
20171127 sell 41.51 4 43.76 20171121
20171128 sell 42.0 5 43.76 20171121
20171129 sell 40.65 6 43.76 20171121
20171130 sell 39.94 7 43.76 20171121
20171229 sell 40.38 7 41.91 20171220
20180102 sell 40.71 8 41.91 20171220
20180201 sell 43.87 11 41.78 20180117
20180202 sell 44.15 12 41.78 20180117
20180305 sell 42.53 5 45.2 20180226
20180314 sell 43.44 3 45.04 20180309
20180418 sell 44.4 5 45.41 20180411
20180419 sell 44.66 6 45.41 20180411
20180514 sell 50.44 6 50.7 20180504
20180612 sell 56.0 3 54.15 20180607
20180613 sell 55.0 4 54.15 20180607
20180614 sell 54.99 5 54.15 20180607
20180803 sell 51.25 8 52.34 20180724
20181012 sell 50.05 8 52.04 20180925
20181015 sell 50.5 9 52.04 20180925
20181016 sell 48.7 10 52.04 20180925
20181017 sell 49.05 11 52.04 20180925
20181018 sell 48.71 12 52.04 20180925
20181019 sell 51.01 13 52.04 20180925
20181127 sell 52.5 9 50.4 20181114
20181128 sell 53.26 10 50.4 20181114
20181217 sell 55.37 9 54.65 20181204
20181218 sell 53.08 10 54.65 20181204
20190222 sell 53.5 11 52.99 20190131
20190313 sell 62.4 11 59.55 20190226
20190321 sell 64.8 3 66.88 20190318
20190412 sell 72.53 8 74.6 20190401
