time operation trade_price
20150105 long 17.28
20150106 long 17.9
20150107 long 17.58
20150108 long 17.27
20150109 noo 16.96
20150112 noo 16.94
20150113 noo 17.36
20150114 noo 17.09
20150115 long_sell 17.09
20150213 long 17.24
20150216 long 17.84
20150217 long 17.66
20150225 long 17.27
20150226 long 17.93
20150227 noo 17.78
20150302 long 17.91
20150303 long 18.26
20150304 long 18.86
20150305 long 19.02
20150306 long 18.48
20150309 long 19.1
20150310 long 21.01
20150311 long 21.63
20150312 long 21.11
20150313 long 21.32
20150316 long 22.93
20150317 long 22.84
20150318 long 23.07
20150319 long 22.49
20150320 noo 22.23
20150323 long 22.98
20150324 noo 22.4
20150325 noo 21.78
20150326 long_sell 21.84
20150402 long 24.39
20150403 long 24.51
20150407 long 25.33
20150408 long 24.98
20150409 noo 24.31
20150410 long 24.8
20150413 long 25.98
20150414 long 26.69
20150415 long 25.5
20150416 long 25.52
20150427 long 27.36
20150514 long 29.39
20150515 long 31.05
20150518 long 29.27
20150519 long 29.23
20150520 noo 29.08
20150521 noo 29.1
20150522 long 29.52
20150525 long 30.75
20150526 long 31.08
20150527 long 30.16
20150714 noo 21.41
20150715 noo 19.44
20150716 noo 20.48
20150717 noo 21.8
20150720 noo 21.6
20150721 noo 22.16
20150722 noo 22.03
20150723 noo 22.49
20150724 noo 21.62
20150727 noo 19.46
20150728 noo 19.61
20150729 noo 20.65
20150730 noo 19.92
20150811 noo 22.06
20150812 noo 21.68
20150813 noo 22.32
20150814 noo 22.32
20150817 long 23.27
20150818 noo 21.04
20150819 noo 21.79
20150820 noo 21.26
20150909 noo 19.3
20150910 noo 18.84
20150911 noo 18.77
20150914 noo 19.18
20150915 noo 17.48
20150916 noo 18.79
20150917 noo 18.04
20150918 noo 18.23
20150921 noo 18.53
20150922 noo 18.6
20150923 noo 17.99
20150924 noo 18.03
20150925 noo 17.66
20150928 noo 17.67
20151009 noo 18.63
20151012 noo 19.07
20151013 noo 18.97
20151014 noo 18.82
20151015 noo 19.25
20151016 noo 19.46
20151019 noo 19.15
20151020 noo 19.36
20151021 noo 18.71
20151022 noo 19.5
20151023 long 19.94
20151026 long 19.69
20151027 long 19.32
20151028 noo 19.12
20151029 noo 19.23
