time operation sell_price hold_day buy_price buy_date
20150109 sell 10.69 4 11.18 20150105
20150112 sell 10.64 5 11.18 20150105
20150402 sell 10.7 14 10.25 20150313
20150506 sell 12.52 20 11.19 20150407
20150507 sell 11.98 21 11.19 20150407
20151116 sell 13.12 15 13.55 20150525
20151210 sell 13.53 4 13.94 20151204
20151228 sell 13.64 7 13.84 20151217
20160412 sell 12.17 6 12.48 20160401
20160426 sell 12.41 7 12.25 20160415
20160427 sell 12.5 8 12.25 20160415
20160428 sell 12.48 9 12.25 20160415
20160429 sell 12.33 10 12.25 20160415
20160503 sell 12.37 11 12.25 20160415
20160616 sell 12.31 9 12.45 20160601
20160721 sell 12.82 14 12.55 20160701
20160802 sell 13.29 3 13.36 20160728
20160822 sell 13.78 9 13.55 20160809
20161207 sell 13.15 3 13.34 20161202
20161208 sell 13.07 4 13.34 20161202
20170227 sell 13.01 20 13.01 20170123
20170405 sell 13.31 13 13.17 20170315
20170419 sell 13.47 5 13.55 20170412
20170505 sell 14.06 1 14.0 20170504
20170508 sell 14.16 2 14.0 20170504
20170509 sell 13.97 3 14.0 20170504
20170510 sell 13.97 4 14.0 20170504
20170607 sell 14.8 13 14.2 20170517
20170609 sell 14.88 1 15.05 20170608
20170713 sell 15.21 12 15.01 20170627
20170807 sell 15.02 4 15.29 20170801
20170830 sell 15.15 10 15.34 20170816
20170914 sell 15.04 2 15.22 20170912
20171102 sell 15.98 16 15.53 20171011
20171103 sell 16.04 17 15.53 20171011
20171114 sell 16.26 6 16.3 20171106
20171127 sell 16.82 6 16.93 20171117
20171128 sell 16.55 7 16.93 20171117
20180316 sell 16.65 14 16.41 20180226
20180319 sell 16.65 15 16.41 20180226
20180528 sell 16.91 9 16.64 20180515
20180529 sell 16.98 10 16.64 20180515
20180612 sell 17.14 3 17.03 20180607
20180806 sell 16.4 4 16.84 20180731
20181011 sell 15.37 4 16.38 20180928
20190218 sell 16.34 15 15.82 20190121
20190312 sell 16.35 4 16.86 20190306
20190329 sell 16.87 8 16.94 20190319
