time operation sell_price buy_price buy_date
20150106 sell 15.78 16.02 20150105
20150107 sell 15.48 15.78 20150106
20150120 sell 13.83 15.37 20150116
20150302 sell 14.03 13.99 20150227
20150304 sell 13.57 14.03 20150302
20150313 sell 14.99 14.6 20150312
20150316 sell 15.41 14.99 20150313
20150317 sell 15.4 15.41 20150316
20150318 sell 15.51 15.4 20150317
20150319 sell 15.19 15.51 20150318
20150320 sell 15.32 15.51 20150318
20150323 sell 15.43 15.32 20150320
20150324 sell 15.35 15.32 20150320
20150325 sell 14.91 15.35 20150324
20150326 sell 15.11 15.35 20150324
20150401 sell 15.96 15.75 20150331
20150402 sell 15.8 15.96 20150401
20150403 sell 15.85 15.8 20150402
20150407 sell 16.81 15.85 20150403
20150408 sell 17.92 15.85 20150403
20150409 sell 18.0 17.92 20150408
20150410 sell 19.8 17.92 20150408
