time operation sell_price buy_price buy_date
20150116 sell 15.37 14.68 20150113
20150121 sell 14.42 13.83 20150120
20150122 sell 14.3 14.42 20150121
20150123 sell 14.4 14.3 20150122
20150126 sell 14.34 14.3 20150122
20150128 sell 14.06 13.99 20150127
20150129 sell 13.9 14.06 20150128
20150130 sell 13.93 14.06 20150128
20150202 sell 13.63 13.93 20150130
20150203 sell 13.95 13.93 20150130
20150206 sell 13.51 13.79 20150205
20150209 sell 13.52 13.51 20150206
20150210 sell 13.77 13.51 20150206
20150305 sell 13.38 13.57 20150304
20150306 sell 13.44 13.57 20150304
20150310 sell 13.77 13.44 20150306
