time code operation
20150105 000016.XSHE buy
20150109 000016.XSHE sell
20150119 000001.XSHE buy
20150225 000001.XSHE buy
20150226 000001.XSHE buy
20150226 000001.XSHE sell
20150303 000001.XSHE buy
20150303 000001.XSHE sell
20150309 000001.XSHE buy
20150309 000001.XSHE sell
20150310 000001.XSHE sell
20150511 000001.XSHE buy
20150512 000001.XSHE buy
20150512 000001.XSHE sell
20150519 000001.XSHE sell
20150528 000001.XSHE buy
20150601 000001.XSHE sell
20151028 000001.XSHE buy
20151030 000001.XSHE buy
20151030 000001.XSHE sell
20151102 000001.XSHE buy
20151102 000001.XSHE sell
20151104 000001.XSHE buy
20151104 000001.XSHE sell
20151112 000001.XSHE sell
20151202 000001.XSHE buy
20151204 000001.XSHE sell
20151214 000001.XSHE buy
20151215 000001.XSHE buy
20151215 000001.XSHE sell
20151217 000001.XSHE buy
20151217 000001.XSHE sell
20151224 000001.XSHE sell
20151228 000001.XSHE buy
20151229 000001.XSHE sell
20160229 000016.XSHE buy
20160302 000016.XSHE buy
20160302 000016.XSHE sell
20160304 000016.XSHE buy
20160304 000016.XSHE sell
20160307 000016.XSHE sell
20160310 000016.XSHE buy
20160314 000016.XSHE sell
20160413 000016.XSHE buy
20160426 000001.XSHE buy
20160427 000001.XSHE sell
20160429 000001.XSHE buy
20160503 000001.XSHE buy
20160503 000001.XSHE sell
20160506 000001.XSHE buy
20160506 000001.XSHE sell
20160527 000016.XSHE buy
20160527 000001.XSHE sell
20160530 000016.XSHE sell
20160607 000016.XSHE buy
20160613 000001.XSHE buy
20160615 000001.XSHE buy
20160615 000001.XSHE sell
20160616 000001.XSHE buy
20160616 000001.XSHE sell
20160617 000016.XSHE sell
20160622 000016.XSHE buy
20160627 000016.XSHE buy
20160701 000016.XSHE buy
20160701 000016.XSHE sell
20160704 000016.XSHE buy
20160704 000016.XSHE sell
20160708 000001.XSHE sell
20160708 000016.XSHE sell
20160718 000016.XSHE sell
20160801 000016.XSHE buy
20160802 000016.XSHE sell
20160803 000001.XSHE buy
20160808 000001.XSHE sell
20160906 000016.XSHE buy
20160907 000016.XSHE buy
20160907 000016.XSHE sell
20160920 000016.XSHE sell
20161017 000016.XSHE buy
20161018 000016.XSHE sell
20161024 000016.XSHE buy
20161026 000001.XSHE buy
20161026 000016.XSHE sell
20161028 000001.XSHE sell
20161128 000016.XSHE buy
20161129 000016.XSHE buy
20161129 000016.XSHE sell
20161130 000016.XSHE sell
20161202 000016.XSHE buy
20161205 000016.XSHE buy
20161205 000016.XSHE sell
20161209 000016.XSHE sell
20170214 000016.XSHE buy
20170217 000016.XSHE sell
20170317 000001.XSHE buy
20170328 000016.XSHE buy
20170331 000001.XSHE sell
20170405 000016.XSHE sell
20170428 000016.XSHE buy
20170508 000016.XSHE buy
20170508 000016.XSHE sell
20170516 000016.XSHE sell
20170523 000016.XSHE buy
20170524 000016.XSHE buy
20170524 000016.XSHE sell
20170609 000016.XSHE sell
20170929 000001.XSHE buy
20171013 000001.XSHE sell
20171016 000016.XSHE buy
20171018 000016.XSHE buy
20171018 000016.XSHE sell
20171019 000016.XSHE buy
20171019 000016.XSHE sell
20171025 000016.XSHE sell
20171027 000001.XSHE buy
20171101 000001.XSHE sell
20171107 000001.XSHE buy
20171127 000001.XSHE sell
20171201 000016.XSHE buy
20171204 000016.XSHE sell
20171219 000001.XSHE buy
20171219 000016.XSHE buy
20171220 000016.XSHE sell
20171225 000001.XSHE sell
20180110 000001.XSHE buy
20180125 000001.XSHE sell
20180323 000016.XSHE buy
20180326 000016.XSHE sell
20181115 000001.XSHE buy
20181116 000001.XSHE sell
20181203 000016.XSHE buy
20181205 000001.XSHE buy
20181205 000016.XSHE sell
20181213 000001.XSHE sell
20190122 000016.XSHE buy
20190201 000016.XSHE sell
