,code,operation,time
12,000001.XSHE,long,20150107
109,002739.XSHE,long,20150302
13,000001.XSHE,long,20150302
110,002739.XSHE,long,20150317
14,000001.XSHE,long,20150317
111,002739.XSHE,long,20150318
15,000001.XSHE,long,20150318
112,002739.XSHE,long,20150319
16,000001.XSHE,long,20150319
113,002739.XSHE,long,20150320
17,000001.XSHE,long,20150320
114,002739.XSHE,long,20150323
18,000001.XSHE,long,20150323
115,002739.XSHE,long,20150324
19,000001.XSHE,long,20150324
116,002739.XSHE,long,20150325
20,000001.XSHE,long,20150325
117,002739.XSHE,long,20150326
21,000001.XSHE,long,20150326
118,002739.XSHE,long,20150327
22,000001.XSHE,long,20150327
23,000001.XSHE,long,20150330
119,002739.XSHE,long,20150330
24,000001.XSHE,long,20150403
120,002739.XSHE,long,20150403
25,000001.XSHE,long,20150407
121,002739.XSHE,long,20150407
26,000001.XSHE,long,20150408
122,002739.XSHE,long,20150408
27,000001.XSHE,long,20150409
123,002739.XSHE,long,20150409
124,002739.XSHE,long,20150410
28,000001.XSHE,long,20150410
125,002739.XSHE,long,20150413
29,000001.XSHE,long,20150413
126,002739.XSHE,long,20150414
30,000001.XSHE,long,20150414
127,002739.XSHE,long,20150416
31,000001.XSHE,long,20150416
128,002739.XSHE,long,20150417
32,000001.XSHE,long,20150417
129,002739.XSHE,long,20150422
33,000001.XSHE,long,20150422
34,000001.XSHE,long,20150423
130,002739.XSHE,long,20150423
35,000001.XSHE,long,20150427
131,002739.XSHE,long,20150427
132,002739.XSHE,long,20150525
36,000001.XSHE,long,20150525
37,000001.XSHE,long,20150526
133,002739.XSHE,long,20150526
38,000001.XSHE,long,20150527
134,002739.XSHE,long,20150527
135,002739.XSHE,long,20150608
39,000001.XSHE,long,20150608
40,000001.XSHE,long,20150609
136,002739.XSHE,long,20150609
137,002739.XSHE,long,20150610
41,000001.XSHE,long,20150610
42,000001.XSHE,long,20150611
138,002739.XSHE,long,20150611
139,002739.XSHE,long,20150612
43,000001.XSHE,long,20150612
0,000001.XSHE,long_sell,20150616
6,002739.XSHE,long_sell,20150616
140,002739.XSHE,long,20150723
44,000001.XSHE,long,20150723
1,000001.XSHE,long_sell,20150727
7,002739.XSHE,long_sell,20150727
141,002739.XSHE,long,20151020
45,000001.XSHE,long,20151020
142,002739.XSHE,long,20160224
46,000001.XSHE,long,20160224
8,002739.XSHE,long_sell,20160225
2,000001.XSHE,long_sell,20160225
3,000001.XSHE,long_sell,20160407
9,002739.XSHE,long_sell,20160407
47,000001.XSHE,long,20160607
143,002739.XSHE,long,20160607
48,000001.XSHE,long,20160704
144,002739.XSHE,long,20160704
49,000001.XSHE,long,20160705
145,002739.XSHE,long,20160705
50,000001.XSHE,long,20160706
146,002739.XSHE,long,20160706
51,000001.XSHE,long,20160707
147,002739.XSHE,long,20160707
148,002739.XSHE,long,20160713
52,000001.XSHE,long,20160713
53,000001.XSHE,long,20160714
149,002739.XSHE,long,20160714
54,000001.XSHE,long,20161025
150,002739.XSHE,long,20161025
55,000001.XSHE,long,20161122
151,002739.XSHE,long,20161122
56,000001.XSHE,long,20170209
152,002739.XSHE,long,20170209
153,002739.XSHE,long,20170210
57,000001.XSHE,long,20170210
58,000001.XSHE,long,20170213
154,002739.XSHE,long,20170213
155,002739.XSHE,long,20170214
59,000001.XSHE,long,20170214
156,002739.XSHE,long,20170216
60,000001.XSHE,long,20170216
157,002739.XSHE,long,20170221
61,000001.XSHE,long,20170221
158,002739.XSHE,long,20170222
62,000001.XSHE,long,20170222
63,000001.XSHE,long,20170703
159,002739.XSHE,long,20170703
64,000001.XSHE,long,20170705
160,002739.XSHE,long,20170705
161,002739.XSHE,long,20170706
65,000001.XSHE,long,20170706
162,002739.XSHE,long,20170707
66,000001.XSHE,long,20170707
163,002739.XSHE,long,20170731
67,000001.XSHE,long,20170731
164,002739.XSHE,long,20170801
68,000001.XSHE,long,20170801
69,000001.XSHE,long,20170904
165,002739.XSHE,long,20170904
70,000001.XSHE,long,20170905
166,002739.XSHE,long,20170905
167,002739.XSHE,long,20170906
71,000001.XSHE,long,20170906
168,002739.XSHE,long,20180108
72,000001.XSHE,long,20180108
73,000001.XSHE,long,20180109
169,002739.XSHE,long,20180109
74,000001.XSHE,long,20180110
170,002739.XSHE,long,20180110
171,002739.XSHE,long,20180111
75,000001.XSHE,long,20180111
172,002739.XSHE,long,20180112
76,000001.XSHE,long,20180112
77,000001.XSHE,long,20180122
173,002739.XSHE,long,20180122
174,002739.XSHE,long,20180123
78,000001.XSHE,long,20180123
79,000001.XSHE,long,20180124
175,002739.XSHE,long,20180124
80,000001.XSHE,long,20180125
176,002739.XSHE,long,20180125
177,002739.XSHE,long,20180126
81,000001.XSHE,long,20180126
178,002739.XSHE,long,20180515
82,000001.XSHE,long,20180515
4,000001.XSHE,long_sell,20180524
10,002739.XSHE,long_sell,20180524
179,002739.XSHE,long,20190225
83,000001.XSHE,long,20190225
84,000001.XSHE,long,20190301
180,002739.XSHE,long,20190301
181,002739.XSHE,long,20190306
85,000001.XSHE,long,20190306
182,002739.XSHE,long,20190307
86,000001.XSHE,long,20190307
87,000001.XSHE,long,20190702
183,002739.XSHE,long,20190702
184,002739.XSHE,long,20190904
88,000001.XSHE,long,20190904
89,000001.XSHE,long,20190909
185,002739.XSHE,long,20190909
186,002739.XSHE,long,20190910
90,000001.XSHE,long,20190910
91,000001.XSHE,long,20190911
187,002739.XSHE,long,20190911
92,000001.XSHE,long,20190912
188,002739.XSHE,long,20190912
93,000001.XSHE,long,20190916
189,002739.XSHE,long,20190916
94,000001.XSHE,long,20191216
190,002739.XSHE,long,20191216
95,000001.XSHE,long,20191217
191,002739.XSHE,long,20191217
96,000001.XSHE,long,20200113
192,002739.XSHE,long,20200113
11,002739.XSHE,long_sell,20200116
5,000001.XSHE,long_sell,20200116
193,002739.XSHE,long,20200220
97,000001.XSHE,long,20200220
194,002739.XSHE,long,20200221
98,000001.XSHE,long,20200221
195,002739.XSHE,long,20200609
99,000001.XSHE,long,20200609
196,002739.XSHE,long,20200625
100,000001.XSHE,long,20200625
197,002739.XSHE,long,20200701
101,000001.XSHE,long,20200701
198,002739.XSHE,long,20200702
102,000001.XSHE,long,20200702
103,000001.XSHE,long,20200703
199,002739.XSHE,long,20200703
104,000001.XSHE,long,20200706
200,002739.XSHE,long,20200706
105,000001.XSHE,long,20200707
201,002739.XSHE,long,20200707
106,000001.XSHE,long,20200708
202,002739.XSHE,long,20200708
107,000001.XSHE,long,20200709
203,002739.XSHE,long,20200709
108,000001.XSHE,long,20200710
204,002739.XSHE,long,20200710
