time operation trade_price
20150105 noo 21.61
20150106 noo 20.96
20150107 noo 21.35
20150108 noo 20.43
20150112 noo 20.29
20150113 noo 19.62
20150114 noo 19.83
20150115 noo 20.35
20150116 noo 20.15
20150119 noo 18.14
20150120 noo 17.1
20150121 noo 18.21
20150122 noo 18.33
20150123 noo 18.62
20150126 noo 18.37
20150127 noo 18.68
20150128 noo 18.42
20150129 noo 17.93
20150130 noo 17.47
20150203 noo 18.29
20150204 noo 18.09
20150205 noo 17.86
20150206 noo 18.12
20150209 noo 18.97
20150210 noo 19.17
20150211 long 19.12
20150212 noo 19.41
20150213 noo 19.35
20150216 noo 19.17
20150217 noo 19.25
20150225 noo 18.72
20150226 noo 19.45
20150227 long_sell 19.37
20150302 noo 19.71
20150304 noo 18.91
20150306 noo 19.73
20150310 noo 18.79
20150311 noo 19.0
20150312 noo 19.79
20150313 noo 19.82
20150316 noo 20.08
20150317 noo 20.46
20150318 noo 20.77
20150319 noo 20.81
20150320 noo 21.71
20150323 noo 21.87
20150324 noo 21.25
20150325 noo 21.02
20150326 noo 20.91
20150327 noo 20.94
20150330 noo 21.65
20150401 noo 23.84
20150402 noo 24.12
20150403 noo 24.74
20150407 noo 24.79
20150408 noo 25.79
20150409 noo 25.72
20150410 noo 25.69
20150413 noo 25.14
20150414 noo 25.26
20150415 noo 24.56
20150416 noo 24.86
20150420 noo 23.29
20150421 noo 24.54
20150422 noo 25.76
20150423 noo 25.87
20150424 noo 26.41
20150427 noo 26.31
20150428 noo 25.43
20150429 noo 25.34
20150430 noo 24.62
20150504 noo 24.79
20150506 noo 23.58
20150507 noo 23.79
20150508 noo 23.82
20150511 noo 24.43
20150512 noo 25.0
20150513 noo 24.22
20150514 noo 24.07
20150515 noo 23.16
20150519 noo 24.55
20150520 noo 24.2
20150521 noo 24.24
20150522 noo 24.91
20150525 long 25.99
20150526 noo 26.25
20150527 noo 25.97
20150528 noo 23.39
20150529 noo 23.53
20150601 noo 24.88
20150602 long_sell 25.74
20150603 noo 25.27
20150604 noo 26.07
20150605 noo 25.94
20150608 noo 27.26
20150609 noo 26.16
20150610 noo 25.77
20150611 noo 25.41
20150612 noo 25.64
20150616 noo 24.85
20150617 noo 24.94
20150618 noo 23.52
20150619 noo 21.84
20150623 noo 22.36
20150624 noo 22.24
20150625 noo 21.65
20150626 noo 19.49
20150629 noo 17.86
20150630 noo 19.65
20150701 noo 18.82
20150702 noo 18.93
20150703 noo 17.95
20150706 noo 19.37
20150707 noo 17.57
20150708 noo 15.81
20150709 noo 17.39
20150710 noo 19.13
20150713 noo 20.69
20150714 noo 19.34
20150715 noo 17.8
20150716 noo 18.13
20150717 noo 19.14
20150720 noo 18.67
20150721 noo 19.07
20150723 noo 19.37
20150727 noo 16.63
20150728 noo 17.87
20150729 noo 17.97
20150730 noo 17.22
20150731 noo 17.29
20150803 noo 17.62
20150804 noo 17.82
20150805 noo 17.41
20150806 noo 17.28
20150807 noo 17.5
20150810 noo 18.54
20150811 noo 18.17
20150812 noo 17.98
20150813 long 18.12
20150814 noo 18.22
20150817 noo 18.35
20150818 noo 16.91
20150819 noo 18.06
20150820 long_sell 17.06
20150821 noo 16.51
20150824 noo 14.86
20150825 noo 13.37
20150826 noo 13.43
20150827 noo 14.53
20150828 noo 15.0
20150831 noo 15.89
20150901 noo 15.91
20150902 noo 15.64
20150907 noo 15.18
20150908 noo 15.65
20150909 noo 15.93
20150910 noo 15.4
20150911 noo 15.25
20150915 noo 14.19
20150916 noo 15.09
20150917 noo 14.52
20150918 noo 14.44
20150921 noo 14.86
20150922 noo 15.74
20150923 noo 15.35
20150924 long 15.79
20150925 noo 15.46
20150928 noo 15.61
20150929 long_sell 7.64
20150930 noo 7.36
20151008 noo 7.55
20151009 noo 7.63
20151012 noo 7.99
20151013 noo 7.9
20151014 noo 7.81
20151015 noo 8.11
20151016 noo 8.21
20151019 noo 8.44
20151020 noo 8.47
20151021 noo 7.89
20151022 noo 8.07
20151023 noo 8.2
20151026 noo 8.42
20151027 noo 8.5
20151028 noo 8.21
20151029 noo 8.26
20151030 noo 8.5
20151102 long 8.28
20151103 noo 8.23
20151104 noo 9.05
20151105 noo 9.77
20151106 noo 10.75
20151109 noo 10.44
20151110 noo 10.55
20151111 noo 10.78
20151112 noo 11.1
20151113 noo 11.1
20151116 noo 10.84
20151117 noo 10.83
20151118 noo 10.14
20151119 long_sell 10.42
20151120 noo 10.26
20151123 noo 10.13
20151124 noo 10.38
20151125 noo 10.44
20151126 noo 10.24
20151127 noo 9.22
20151130 noo 9.2
20151201 noo 9.29
20151202 noo 9.74
20151203 noo 9.7
20151204 noo 9.49
20151207 noo 9.57
20151208 noo 9.35
20151209 noo 9.29
20151210 noo 9.39
20151211 noo 9.43
20151214 noo 10.27
20151215 noo 9.95
20151216 long 9.97
20151217 noo 10.13
20151218 noo 10.09
20151221 noo 10.21
20151222 noo 10.33
20151223 noo 10.49
20151224 noo 10.09
20151225 noo 10.14
20151228 noo 9.89
20151229 long_sell 10.01
20151230 noo 10.03
20151231 noo 9.9
20160104 noo 8.91
20160105 noo 9.2
20160106 noo 9.3
20160107 noo 8.42
20160108 noo 8.62
20160111 noo 7.9
20160112 noo 8.13
20160113 noo 8.02
20160114 noo 8.25
20160115 noo 8.32
20160118 noo 8.33
20160119 noo 8.58
20160120 noo 8.58
20160121 noo 8.28
20160122 noo 8.48
20160125 noo 8.64
20160126 noo 8.0
20160128 noo 7.79
20160129 noo 8.2
20160201 noo 8.12
20160202 noo 8.36
20160203 noo 8.47
20160204 long 8.46
20160205 noo 8.07
20160215 noo 7.96
20160216 noo 8.31
20160217 noo 8.35
20160218 long_sell 8.28
20160219 noo 8.26
20160222 long 8.5
20160223 noo 8.35
20160224 noo 8.37
20160225 noo 7.55
20160226 long_sell 7.58
20160229 noo 7.3
20160301 noo 7.53
20160302 noo 7.92
20160303 noo 7.87
20160304 noo 7.88
20160307 noo 7.95
20160308 noo 7.94
20160309 noo 7.93
20160310 noo 7.79
20160311 noo 7.86
20160314 noo 7.97
20160316 noo 7.96
20160317 long 8.1
20160318 noo 8.31
20160321 noo 9.14
20160322 noo 8.82
20160323 noo 8.84
20160324 noo 8.44
20160325 noo 8.58
20160328 noo 8.36
20160329 noo 8.3
20160330 long_sell 8.5
20160331 noo 8.51
20160401 noo 8.47
20160405 noo 8.61
20160406 noo 8.55
20160407 noo 8.35
20160408 long_sell 8.19
20160411 noo 8.43
20160412 noo 8.55
20160413 noo 8.67
20160414 noo 8.74
20160415 long 8.65
20160418 noo 8.4
20160419 noo 8.46
20160420 noo 8.32
20160421 long_sell 8.13
20160422 noo 8.16
20160425 noo 8.07
20160426 noo 8.15
20160427 noo 8.08
20160428 noo 8.1
20160429 noo 8.06
20160503 noo 8.19
20160504 noo 8.19
20160505 noo 8.15
20160509 noo 7.6
20160510 noo 7.73
20160511 noo 7.64
20160512 noo 7.7
20160513 noo 7.72
20160516 noo 7.73
20160517 noo 7.74
20160518 noo 7.76
20160519 noo 7.75
20160520 noo 7.84
20160523 noo 7.83
20160524 noo 7.71
20160526 noo 7.56
20160527 noo 7.58
20160530 noo 7.55
20160531 noo 8.11
20160601 long 7.97
20160602 noo 8.0
20160603 noo 7.96
20160606 noo 7.88
20160607 noo 7.92
20160608 noo 7.86
20160613 long_sell 7.52
20160614 noo 7.55
20160615 noo 7.67
20160616 noo 7.55
20160617 noo 7.58
20160620 noo 7.56
20160621 noo 7.58
20160622 noo 0
20160623 noo 0
20160624 noo 7.2
20160627 noo 7.19
20160628 noo 7.26
20160629 noo 7.24
20160630 noo 7.26
20160701 noo 7.3
20160704 noo 7.44
20160705 noo 7.47
20160706 noo 7.5
20160707 noo 7.53
20160708 long 7.51
20160711 noo 7.5
20160712 noo 7.59
20160713 noo 7.71
20160714 noo 7.67
20160715 noo 7.59
20160718 noo 7.43
20160719 noo 7.47
20160720 long_sell 7.51
20160721 noo 7.54
20160722 noo 7.48
20160725 noo 7.47
20160726 noo 7.57
20160727 noo 7.44
20160728 noo 7.33
20160729 noo 7.25
20160801 noo 7.26
20160802 noo 7.31
20160803 noo 7.31
20160804 noo 7.3
20160805 noo 7.29
20160808 noo 7.31
20160809 noo 7.33
20160810 noo 7.3
20160811 noo 7.33
20160812 noo 7.44
20160815 long 7.8
20160816 noo 7.63
20160817 noo 7.59
20160818 noo 7.6
20160819 noo 7.59
20160822 noo 7.48
20160823 noo 7.52
20160824 long_sell 7.46
20160825 noo 7.51
