time operation sell_price hold_day buy_price buy_date
20170622 sell 73.09 10 73.61 20170608
20170712 sell 72.1 3 73.44 20170707
20170912 sell 69.76 18 68.96 20170817
20170926 sell 67.79 28 68.96 20170817
20171103 sell 70.31 15 70.97 20171013
20180112 sell 51.01 5 52.1 20180105
20180130 sell 50.11 17 52.1 20180105
20180323 sell 49.5 20 49.81 20180223
20180411 sell 51.1 31 49.81 20180223
20180601 sell 52.1 19 49.56 20180507
20180724 sell 42.9 55 49.56 20180507
20181012 sell 25.65 6 28.61 20180927
20181113 sell 28.14 12 26.7 20181026
20181212 sell 26.45 5 28.69 20181205
20190116 sell 25.42 3 25.38 20190111
20190325 sell 28.85 40 25.5 20190121
20190416 sell 32.2 9 31.72 20190402
