,code,operation,time
0,600000.XSHG,long_sell,20150119
25502,002202.XSHE,long_sell,20150119
6244,600398.XSHG,long_sell,20150119
6123,600390.XSHG,long_sell,20150119
25725,002236.XSHE,long_sell,20150119
25831,002241.XSHE,long_sell,20150119
6013,600383.XSHG,long_sell,20150119
5885,600372.XSHG,long_sell,20150119
26051,002271.XSHE,long_sell,20150119
26171,002294.XSHE,long_sell,20150119
5677,600362.XSHG,long_sell,20150119
26298,002304.XSHE,long_sell,20150119
5554,600352.XSHG,long_sell,20150119
26998,002422.XSHE,long_sell,20150119
5091,600309.XSHG,long_sell,20150119
27106,002456.XSHE,long_sell,20150119
25381,002179.XSHE,long_sell,20150119
27214,002460.XSHE,long_sell,20150119
6358,600406.XSHG,long_sell,20150119
6706,600482.XSHG,long_sell,20150119
22907,000858.XSHE,long_sell,20150119
7754,600566.XSHG,long_sell,20150119
23131,000895.XSHE,long_sell,20150119
23253,000898.XSHE,long_sell,20150119
7517,600535.XSHG,long_sell,20150119
23478,000961.XSHE,long_sell,20150119
7403,600522.XSHG,long_sell,20150119
23804,002001.XSHE,long_sell,20150119
7279,600519.XSHG,long_sell,20150119
23929,002007.XSHE,long_sell,20150119
7165,600516.XSHG,long_sell,20150119
24051,002008.XSHE,long_sell,20150119
7047,600498.XSHG,long_sell,20150119
24291,002024.XSHE,long_sell,20150119
24395,002027.XSHE,long_sell,20150119
6599,600438.XSHG,long_sell,20150119
7870,600570.XSHG,long_sell,20150119
27337,002466.XSHE,long_sell,20150119
4620,600271.XSHG,long_sell,20150119
2703,600100.XSHG,long_sell,20150119
2594,600089.XSHG,long_sell,20150119
2485,600085.XSHG,long_sell,20150119
2245,600066.XSHG,long_sell,20150119
2052,600050.XSHG,long_sell,20150119
1934,600048.XSHG,long_sell,20150119
1817,600038.XSHG,long_sell,20150119
1684,600036.XSHG,long_sell,20150119
1440,600030.XSHG,long_sell,20150119
1331,600029.XSHG,long_sell,20150119
1240,600028.XSHG,long_sell,20150119
996,600023.XSHG,long_sell,20150119
788,600018.XSHG,long_sell,20150119
570,600015.XSHG,long_sell,20150119
452,600011.XSHG,long_sell,20150119
2825,600104.XSHG,long_sell,20150119
27445,002468.XSHE,long_sell,20150119
3060,600111.XSHG,long_sell,20150119
3176,600115.XSHG,long_sell,20150119
4512,600233.XSHG,long_sell,20150119
28134,002594.XSHE,long_sell,20150119
4424,600221.XSHG,long_sell,20150119
4323,600219.XSHG,long_sell,20150119
28464,002607.XSHE,long_sell,20150119
4212,600208.XSHG,long_sell,20150119
28665,002673.XSHE,long_sell,20150119
4094,600196.XSHG,long_sell,20150119
28891,002736.XSHE,long_sell,20150119
3984,600188.XSHG,long_sell,20150119
3859,600183.XSHG,long_sell,20150119
3728,600177.XSHG,long_sell,20150119
3600,600176.XSHG,long_sell,20150119
30014,300059.XSHE,long_sell,20150119
30127,300070.XSHE,long_sell,20150119
30355,300124.XSHE,long_sell,20150119
22796,000786.XSHE,long_sell,20150119
22582,000776.XSHE,long_sell,20150119
8094,600585.XSHG,long_sell,20150119
