time operation sell_price hold_day buy_price buy_date
20150119 sell 16.31 9 15.45 20150106
20150727 sell 26.91 3 30.99 20150722
20150818 sell 25.91 2 28.84 20150814
20150819 sell 26.62 3 28.84 20150814
20151029 sell 23.91 13 23.06 20151012
20151223 sell 25.39 4 26.39 20151217
20160223 sell 19.23 1 19.56 20160222
20160328 sell 19.5 6 19.62 20160318
20160329 sell 19.3 7 19.62 20160318
20160330 sell 19.77 8 19.62 20160318
20160401 sell 19.56 10 19.62 20160318
20160607 sell 19.96 7 19.54 20160527
20160705 sell 20.14 11 19.42 20160620
20160913 sell 12.58 4 12.98 20160907
20161018 sell 12.33 3 12.33 20161013
20161019 sell 12.25 4 12.33 20161013
20161020 sell 12.2 5 12.33 20161013
20161021 sell 12.17 6 12.33 20161013
20161109 sell 12.06 1 12.26 20161108
20161202 sell 12.6 13 12.42 20161115
20161227 sell 12.59 5 13.01 20161220
20170504 sell 17.0 8 16.03 20170421
20170727 sell 18.99 2 19.69 20170725
20170728 sell 19.4 3 19.69 20170725
20170731 sell 19.22 4 19.69 20170725
20170803 sell 18.83 1 19.21 20170802
20170821 sell 19.92 6 19.7 20170811
20170822 sell 19.82 7 19.7 20170811
20171218 sell 26.05 4 27.55 20171212
20171219 sell 26.49 5 27.55 20171212
20171220 sell 26.33 6 27.55 20171212
20171227 sell 24.91 11 27.55 20171212
20180308 sell 25.93 10 24.29 20180222
20180316 sell 25.48 16 24.29 20180222
20180523 sell 21.67 3 21.4 20180518
20180612 sell 20.7 3 21.61 20180607
20180725 sell 20.52 8 20.03 20180713
20180726 sell 19.98 9 20.03 20180713
20181008 sell 15.87 1 16.36 20180928
20181009 sell 15.56 2 16.36 20180928
20181109 sell 14.63 2 14.67 20181107
20181207 sell 14.22 3 14.86 20181204
20190304 sell 14.18 12 11.91 20190214
20190408 sell 14.42 2 15.23 20190403
