time operation trade_price
20150105 noo 7.61
20150106 noo 7.54
20150107 noo 7.72
20150108 noo 7.44
20150109 noo 7.27
20150126 noo 6.67
20150127 noo 6.57
20150212 noo 6.09
20150213 noo 6.14
20150216 noo 6.16
20150217 noo 6.15
20150225 noo 6.07
20150226 noo 6.29
20150227 noo 6.27
20150302 noo 6.4
20150303 noo 6.21
20150304 noo 6.27
20150310 noo 6.31
20150312 long 6.36
20150313 noo 6.47
20150316 noo 6.58
20150317 noo 6.73
20150318 noo 6.89
20150319 noo 6.9
20150320 noo 6.85
20150323 noo 6.97
20150324 noo 6.92
20150325 long_sell 6.75
20150327 noo 6.87
20150330 noo 7.07
20150401 noo 7.0
20150402 noo 7.1
20150403 noo 7.19
20150407 noo 7.4
20150408 noo 7.26
20150409 noo 7.14
20150410 noo 7.29
20150413 noo 7.4
20150414 noo 7.46
20150415 noo 7.26
20150416 noo 7.5
20150417 noo 7.79
20150420 noo 8.11
20150421 noo 8.65
20150422 noo 8.69
20150423 noo 8.88
20150424 noo 8.63
20150427 noo 9.3
20150428 noo 9.88
20150429 noo 9.62
20150430 noo 9.13
20150504 noo 9.49
20150514 noo 8.31
20150515 noo 7.97
20150522 noo 8.47
20150525 noo 8.85
20150526 long 9.05
20150527 noo 9.33
20150528 noo 8.47
20150529 long_sell 8.24
20150601 noo 9.06
20150602 noo 9.12
20150603 long_sell 8.91
20150604 noo 9.62
20150605 noo 9.65
20150608 noo 10.22
20150609 noo 11.24
20150610 noo 11.42
20150611 noo 11.2
20150612 noo 11.69
20150615 noo 11.2
20150616 noo 11.49
20150617 noo 12.49
20150618 noo 11.85
20150619 long_sell 11.0
20150623 noo 11.74
20150624 noo 12.91
20150625 noo 12.56
20150626 long_sell 11.3
20150629 noo 11.09
20150710 noo 8.34
20150713 noo 9.12
20150714 noo 8.22
20150715 noo 7.4
20150721 noo 8.37
20150722 noo 8.73
20150723 noo 8.8
20150724 noo 9.25
20150727 noo 8.33
20150803 noo 8.41
20150804 noo 8.64
20150805 noo 8.46
20150806 noo 8.4
20150807 long 8.56
20150810 noo 9.42
20150811 noo 9.64
20150812 noo 10.45
20150813 noo 10.5
20150814 noo 10.41
20150817 noo 10.29
20150818 long_sell 9.26
20150901 noo 7.21
20150902 noo 6.49
20150907 noo 6.4
20150909 noo 6.89
20150911 noo 6.8
20150914 noo 6.51
20150921 noo 6.52
20150922 noo 6.65
20150924 noo 6.46
20151009 noo 6.41
20151012 noo 6.74
20151013 noo 6.68
20151014 long 6.62
20151015 noo 6.84
20151016 noo 7.06
20151019 noo 6.99
20151020 noo 6.93
20151021 long_sell 6.41
20151022 long_sell 6.57
20151028 noo 6.44
20151105 noo 6.71
20151106 noo 6.77
20151109 long 6.89
20151110 noo 6.99
20151111 noo 6.96
20151112 noo 6.81
20151113 long_sell 6.61
20151116 long_sell 6.6
20151117 long_sell 6.64
20151120 noo 6.77
20151123 noo 6.6
20151204 noo 6.25
20151207 noo 6.2
20151214 noo 6.27
20151215 noo 6.15
20151216 noo 6.14
20151217 noo 6.26
20151218 noo 6.21
20151221 noo 6.36
20151222 noo 6.41
20151223 noo 6.31
20151225 noo 6.21
20160106 noo 6.2
20160108 noo 6.15
20160111 noo 5.66
20160122 noo 5.25
20160125 noo 5.33
20160215 noo 4.63
20160216 noo 4.79
20160217 noo 4.84
20160218 noo 4.83
20160219 noo 4.81
20160222 noo 4.98
20160223 noo 5.04
20160224 noo 5.2
20160226 noo 5.0
20160301 long 5.06
20160302 noo 5.35
20160303 noo 5.37
20160304 noo 5.37
20160307 noo 5.45
20160308 noo 5.41
20160309 long_sell 5.12
20160310 long_sell 5.01
20160317 noo 5.1
20160318 noo 5.21
20160321 noo 5.31
20160322 noo 5.23
20160323 noo 5.23
20160331 noo 5.12
20160401 noo 5.15
20160405 noo 5.25
20160406 long 5.18
20160407 noo 5.16
20160408 noo 5.2
20160411 noo 5.32
20160412 noo 5.49
20160413 noo 5.56
20160414 noo 5.49
20160415 noo 5.38
20160418 noo 5.39
20160419 long_sell 5.31
20160427 noo 5.14
20160503 noo 5.23
20160504 noo 5.21
20160505 noo 5.23
20160516 noo 4.8
20160525 noo 4.65
20160526 noo 4.74
20160527 noo 4.68
20160531 noo 4.79
20160601 noo 4.81
20160602 noo 4.81
20160603 noo 4.83
20160606 noo 4.78
20160607 noo 4.81
20160617 noo 4.82
20160620 noo 4.73
20160621 noo 4.73
20160622 long 4.88
20160623 noo 4.9
20160624 long_sell 4.8
20160627 noo 5.13
20160628 noo 5.1
20160629 noo 5.18
20160630 noo 5.16
20160701 noo 5.16
20160704 noo 5.49
20160705 noo 5.48
20160706 noo 5.5
20160707 noo 5.45
20160708 noo 5.33
20160712 noo 5.72
20160713 noo 5.75
20160714 noo 5.69
20160715 noo 5.73
20160718 noo 5.65
20160729 noo 5.53
20160801 noo 5.66
20160802 noo 5.72
20160803 noo 5.67
20160804 noo 5.68
20160805 noo 5.68
20160808 noo 5.94
20160809 noo 5.87
20160810 noo 5.89
20160811 noo 5.73
20160812 noo 5.83
20160816 noo 5.92
20160818 noo 5.83
20160831 noo 5.59
20160901 noo 5.56
20160905 noo 5.66
20160906 noo 5.68
20160907 noo 5.63
20160908 noo 5.68
20160909 noo 5.66
20160921 noo 5.59
20160922 noo 5.61
20160923 noo 5.62
20160926 noo 5.57
20160927 noo 5.59
20160929 noo 5.63
20160930 long 5.65
20161010 noo 5.7
20161011 noo 5.83
20161012 noo 5.78
20161013 noo 5.78
20161014 noo 5.84
20161017 noo 5.81
20161018 noo 5.96
20161019 noo 5.91
