time operation trade_price
20150105 noo 21.55
20150106 noo 21.85
20150107 noo 21.68
20150108 noo 22.98
20150109 noo 22.69
20150112 noo 24.95
20150113 noo 24.57
20150114 noo 25.08
20150115 noo 24.78
20150116 noo 24.79
20150120 noo 24.99
20150121 noo 25.54
20150122 noo 25.32
20150123 noo 26.81
20150126 noo 26.84
20150127 noo 26.17
20150211 noo 23.01
20150212 noo 25.31
20150213 noo 25.34
20150216 long 25.79
20150217 noo 25.59
20150225 noo 24.09
20150226 long_sell 24.65
20150304 noo 25.36
20150305 noo 24.89
20150306 noo 25.23
20150309 noo 25.09
20150310 noo 25.02
20150317 noo 25.2
20150318 noo 25.44
20150319 noo 27.98
20150320 noo 27.35
20150323 noo 27.39
20150324 noo 28.3
20150325 noo 28.46
20150326 noo 28.41
20150327 noo 29.77
20150330 noo 30.51
20150331 noo 29.31
20150401 noo 29.45
20150402 noo 29.46
20150403 noo 30.16
20150407 noo 0
20150409 noo 29.6
20150410 noo 30.71
20150413 noo 31.15
20150414 noo 30.18
20150422 noo 29.93
20150423 noo 29.68
20150427 noo 30.27
20150430 noo 30.05
20150504 noo 32.84
20150505 noo 30.42
20150506 noo 29.22
20150512 noo 30.59
20150513 long 31.53
20150514 noo 31.61
20150515 noo 30.35
20150518 long_sell 30.38
20150519 noo 31.55
20150520 long_sell 31.52
20150521 noo 33.75
20150522 noo 33.9
20150525 noo 36.3
20150526 noo 36.88
20150527 noo 37.18
20150529 noo 34.27
20150602 noo 39.62
20150603 noo 39.22
20150604 noo 42.28
20150605 noo 42.14
20150608 noo 40.89
20150609 noo 40.53
20150706 noo 14.45
20150710 noo 14.17
20150713 noo 15.59
20150714 noo 14.54
20150715 noo 13.09
20150716 noo 13.3
20150722 noo 14.79
20150723 noo 14.83
20150724 noo 14.24
20150803 noo 12.82
20150804 noo 13.32
20150805 noo 13.04
20150806 noo 12.75
20150807 noo 13.03
20150810 noo 13.61
20150811 noo 14.28
20150812 noo 13.73
20150813 long 13.99
20150814 noo 13.76
20150817 noo 13.66
20150818 long_sell 12.4
20150819 long_sell 13.27
20150820 long_sell 12.73
20150902 noo 10.24
20150907 noo 10.29
20150909 noo 10.95
20150910 noo 10.56
20150911 noo 10.43
20150922 noo 10.06
20150924 noo 9.98
20151008 noo 10.17
20151009 noo 10.1
20151012 noo 10.51
20151013 noo 10.52
20151014 long 10.22
20151015 noo 10.69
20151016 noo 11.18
20151019 noo 11.11
20151020 noo 11.12
20151021 long_sell 10.2
20151028 noo 10.36
20151029 noo 10.52
20151104 noo 10.93
20151105 noo 11.06
20151106 noo 11.35
