time operation trade_price
20150105 noo 16.52
20150126 noo 14.16
20150127 noo 14.08
20150128 noo 14.09
20150209 noo 14.09
20150210 noo 14.31
20150211 noo 14.27
20150212 noo 14.26
20150213 noo 14.22
20150216 noo 14.16
20150217 long 14.36
20150225 long_sell 14.09
20150226 noo 14.84
20150227 noo 14.67
20150302 noo 14.93
20150304 noo 14.33
20150316 noo 14.64
20150317 noo 14.98
20150318 noo 15.16
20150319 noo 14.99
20150320 noo 15.82
20150323 noo 15.95
20150324 noo 15.8
20150325 noo 15.73
20150326 noo 15.58
20150331 noo 15.88
20150401 noo 16.23
20150402 noo 16.03
20150403 noo 16.52
20150407 noo 16.63
20150408 noo 17.39
20150409 noo 17.46
20150410 noo 17.37
20150413 noo 17.2
20150414 noo 17.19
20150420 noo 17.2
20150421 noo 18.92
20150422 noo 0
20150423 noo 0
20150424 noo 0
20150427 noo 0
20150428 noo 0
20150429 noo 18.25
20150430 noo 17.54
20150504 noo 0
20150505 noo 0
20150506 noo 0
20150507 noo 0
20150508 noo 0
20150511 noo 0
20150512 noo 0
20150513 noo 0
20150514 noo 18.2
20150522 noo 17.84
20150525 noo 18.26
20150526 noo 18.63
20150527 noo 19.25
20150528 noo 17.42
20150604 noo 18.27
20150605 noo 18.07
20150608 noo 18.8
20150609 noo 18.38
20150610 noo 18.09
20150706 noo 13.31
20150710 noo 13.19
20150713 noo 13.42
20150714 noo 12.69
20150715 noo 11.44
20150722 noo 12.15
20150723 noo 12.56
20150724 noo 12.32
20150803 noo 11.68
20150804 noo 11.93
20150806 noo 11.38
20150807 noo 11.54
20150810 noo 12.4
20150811 noo 12.43
20150812 noo 12.74
20150813 long 13.01
20150814 noo 13.02
20150817 noo 12.78
20150818 long_sell 11.59
20150819 long_sell 11.92
20150901 noo 9.66
20150902 noo 10.05
20150907 noo 9.95
20150908 noo 10.21
20150909 noo 10.45
20150910 noo 10.0
20150921 noo 9.65
20150922 noo 10.0
20150924 noo 9.81
20151009 noo 9.73
20151012 long 10.25
20151013 noo 10.15
20151014 noo 10.2
20151015 noo 10.37
20151016 noo 10.76
20151019 noo 10.91
20151020 noo 10.93
20151021 long_sell 10.1
20151028 noo 10.27
20151104 noo 11.25
20151105 noo 12.04
20151106 noo 13.15
20151109 noo 12.65
20151110 noo 12.7
20151111 noo 13.1
20151112 noo 12.65
20151113 noo 13.7
20151116 noo 13.49
20151117 noo 13.34
20151119 noo 13.01
20151125 noo 12.94
20151204 noo 11.92
20151207 noo 11.88
20151208 noo 11.71
20151211 noo 11.95
20151214 noo 13.02
20151215 noo 12.51
20151216 noo 12.47
20151217 long 12.64
20151218 noo 12.52
20151221 long_sell 12.67
20151222 noo 13.06
20151223 noo 13.05
20160114 noo 10.56
20160118 noo 10.38
20160119 noo 10.85
20160120 noo 11.06
20160121 noo 10.78
20160122 noo 10.97
20160125 noo 10.94
20160204 noo 9.43
20160217 noo 9.37
20160219 noo 9.43
20160222 noo 9.73
20160223 noo 9.59
20160224 noo 9.64
20160303 noo 9.05
20160304 noo 9.13
20160307 noo 9.23
20160308 noo 9.15
20160317 noo 9.24
20160318 long 9.6
20160321 noo 10.56
20160322 noo 10.18
20160323 noo 10.39
20160324 noo 9.99
20160325 noo 10.11
20160328 long_sell 9.91
20160331 noo 10.28
20160401 noo 10.2
20160405 noo 10.35
20160406 noo 10.33
20160411 noo 10.2
20160414 noo 10.34
20160415 noo 10.25
20160428 noo 9.7
20160503 noo 9.6
20160517 noo 8.9
20160518 noo 8.9
20160519 noo 8.86
20160520 noo 8.93
20160523 noo 9.04
20160525 noo 9.0
20160526 noo 9.26
20160527 noo 9.14
20160530 noo 9.31
20160531 long 10.07
20160601 noo 10.11
20160602 noo 10.32
20160603 noo 10.35
20160606 noo 10.21
20160607 noo 10.27
20160608 noo 10.13
20160613 long_sell 9.65
20160615 noo 10.36
20160617 noo 10.34
20160620 noo 10.34
20160621 noo 10.9
20160622 noo 11.22
20160623 noo 11.11
20160624 noo 10.93
20160627 noo 11.39
20160628 noo 11.77
20160629 noo 11.63
20160630 noo 11.6
20160701 noo 11.45
20160704 noo 11.74
20160713 noo 11.42
20160714 noo 11.35
20160804 noo 10.38
20160805 noo 10.49
20160808 noo 10.58
20160809 noo 10.63
20160810 noo 10.55
20160811 noo 10.65
20160812 noo 10.86
20160815 noo 11.51
20160816 long 11.41
20160817 noo 11.39
20160818 noo 11.34
20160819 noo 11.26
20160822 long_sell 11.04
20160823 long_sell 11.08
20160829 noo 11.05
20160830 noo 11.12
20160831 noo 11.18
20160906 noo 11.12
20160908 noo 11.05
20160921 noo 10.6
20160922 noo 10.61
20160923 noo 10.52
20160927 noo 10.51
20160930 noo 10.62
20161010 noo 10.74
20161011 noo 10.72
20161012 noo 10.66
