time operation trade_price
20150105 noo 4.7
20150106 noo 4.51
20150107 noo 4.57
20150108 noo 4.42
20150109 noo 4.35
20150126 noo 4.18
20150127 noo 4.16
20150204 noo 4.17
20150209 noo 4.06
20150213 noo 4.13
20150216 noo 4.18
20150217 noo 4.21
20150225 long 4.28
20150226 noo 4.33
20150227 noo 4.76
20150302 noo 4.86
20150303 noo 4.82
20150304 noo 5.13
20150305 noo 5.19
20150306 noo 4.94
20150309 noo 5.1
20150310 noo 5.12
20150311 long_sell 4.99
20150313 noo 4.98
20150317 noo 5.29
20150318 noo 5.36
20150319 noo 5.52
20150320 noo 5.5
20150323 noo 5.61
20150324 noo 5.56
20150325 noo 5.42
20150326 noo 5.55
20150401 noo 5.54
20150402 noo 5.67
20150403 noo 5.64
20150407 noo 5.76
20150408 noo 5.79
20150409 noo 5.99
20150410 noo 6.08
20150413 noo 6.23
20150414 noo 6.09
20150415 noo 6.12
20150416 noo 6.35
20150417 noo 6.74
20150420 noo 6.47
20150421 noo 6.59
20150422 noo 6.81
20150423 noo 7.14
20150424 noo 7.85
20150427 noo 8.64
20150428 noo 9.5
20150429 noo 10.45
20150430 noo 9.79
20150504 noo 9.47
20150505 noo 9.1
20150514 noo 9.33
20150515 noo 8.5
20150522 noo 9.18
20150525 noo 9.35
20150526 noo 9.64
20150527 noo 10.06
20150528 noo 9.05
20150604 noo 9.2
20150605 noo 9.54
20150608 noo 9.86
20150609 noo 9.44
20150610 noo 9.37
20150611 noo 9.26
20150624 long 9.93
20150625 noo 10.34
20150626 noo 11.09
20150629 noo 11.91
20150630 noo 10.73
20150701 noo 10.9
20150702 long_sell 9.81
20150713 noo 8.1
20150714 noo 7.46
20150715 noo 6.71
20150721 noo 7.58
20150722 noo 8.34
20150723 noo 8.32
20150724 noo 8.3
20150727 noo 7.95
20150728 noo 8.39
20150729 noo 8.69
20150730 noo 8.37
20150810 noo 8.21
20150811 noo 8.58
20150812 long 8.4
20150813 noo 8.6
20150814 noo 9.26
20150817 noo 9.17
20150818 long_sell 8.25
20150831 noo 6.63
20150901 noo 6.65
20150902 noo 6.89
20150907 noo 6.49
20150908 noo 6.74
20150909 noo 7.11
20150910 noo 6.67
20150917 noo 6.89
20150918 noo 6.92
20150921 noo 7.08
20150922 noo 7.15
20150923 noo 6.84
20150924 noo 6.99
20151009 noo 6.78
20151012 long 7.17
20151013 noo 7.07
20151014 noo 7.0
20151015 noo 7.46
20151016 noo 7.68
20151019 noo 7.55
20151020 noo 7.55
20151021 long_sell 6.8
20151022 long_sell 7.06
20151023 long_sell 7.24
20151028 noo 7.34
20151029 noo 7.38
20151030 noo 7.35
20151105 noo 7.38
20151106 noo 7.46
20151109 noo 7.63
20151110 noo 7.72
20151111 noo 7.68
20151112 noo 7.48
20151120 noo 7.33
20151204 noo 6.54
20151207 noo 6.48
20151215 noo 6.3
20151216 noo 6.93
20151217 noo 6.87
20151218 noo 6.85
20151221 noo 6.81
20151222 long 6.79
20151223 long_sell 6.74
20151225 noo 6.87
20160114 noo 5.75
20160120 noo 5.57
20160122 noo 5.51
20160125 noo 5.59
20160202 noo 5.18
20160204 noo 5.4
20160205 noo 5.48
20160215 noo 5.47
20160216 noo 5.67
20160217 noo 5.66
20160218 long 5.6
20160219 noo 5.58
20160222 noo 5.7
20160223 noo 5.79
20160224 noo 5.94
20160225 long_sell 5.53
20160226 noo 5.85
20160229 noo 6.02
20160301 noo 6.24
20160302 noo 6.64
20160303 noo 6.62
20160304 noo 6.35
20160307 noo 6.54
20160308 noo 6.73
20160309 long_sell 6.21
20160310 long_sell 6.06
20160316 noo 6.48
20160317 noo 6.57
20160318 noo 6.54
20160321 noo 6.73
20160322 noo 6.91
20160323 noo 6.9
20160324 noo 6.57
20160330 noo 6.96
20160331 noo 6.82
20160401 noo 7.42
20160405 noo 7.48
20160406 noo 7.95
20160407 noo 7.84
20160408 noo 7.55
20160411 noo 7.62
20160412 noo 7.58
20160427 noo 7.02
20160503 noo 6.85
20160517 noo 6.34
20160518 noo 6.2
20160519 noo 6.14
20160531 noo 6.16
20160601 noo 6.22
20160602 noo 6.23
20160603 noo 6.22
20160606 noo 6.19
20160607 noo 6.18
20160621 noo 5.75
20160623 noo 5.75
20160628 noo 5.89
20160629 noo 5.91
20160630 noo 6.1
20160701 noo 6.11
20160704 long 6.34
20160705 noo 6.33
20160706 noo 6.23
20160707 noo 6.24
20160708 noo 6.11
20160711 long_sell 6.17
20160712 noo 6.42
20160713 noo 6.4
20160714 noo 6.4
20160715 noo 6.33
20160718 noo 6.22
20160803 noo 6.2
20160804 noo 6.12
