time operation sell_price hold_day buy_price buy_date
20160613 sell 13.78 4 14.25 20160603
20160624 sell 13.96 4 14.72 20160620
20160627 sell 14.16 5 14.72 20160620
20161026 sell 16.9 7 16.37 20161017
20161202 sell 19.3 7 17.69 20161123
20170216 sell 16.91 4 17.1 20170210
20170331 sell 17.6 4 17.77 20170327
20170418 sell 19.76 14 17.77 20170327
20170525 sell 19.83 3 19.49 20170522
20170922 sell 19.68 9 19.45 20170911
20171128 sell 19.41 12 18.65 20171110
20180115 sell 21.75 14 19.52 20171225
20180417 sell 21.44 2 22.48 20180413
20180515 sell 22.89 9 21.8 20180502
20180614 sell 22.18 1 22.55 20180613
20180619 sell 21.47 3 22.55 20180613
20180620 sell 21.95 4 22.55 20180613
20180621 sell 22.12 5 22.55 20180613
20180625 sell 21.18 1 22.7 20180622
20180905 sell 17.28 3 18.0 20180831
20180927 sell 18.58 8 17.7 20180914
20181106 sell 18.43 8 18.47 20181025
20181218 sell 18.09 1 18.74 20181217
20190308 sell 20.73 30 18.39 20190118
20190311 sell 21.0 31 18.39 20190118
