,code,operation,time
1176,300142.XSHE,long_sell,20150105
1822,600000.XSHG,long,20150105
1823,600000.XSHG,long,20150106
1177,300142.XSHE,long_sell,20150106
1824,600000.XSHG,long,20150107
1178,300142.XSHE,long_sell,20150107
1825,600000.XSHG,long,20150108
1179,300142.XSHE,long_sell,20150108
1826,600000.XSHG,long,20150109
1180,300142.XSHE,long_sell,20150109
0,600000.XSHG,long_sell,20150109
1181,300142.XSHE,long_sell,20150112
1,600000.XSHG,long_sell,20150112
1827,600000.XSHG,long,20150112
2,600000.XSHG,long_sell,20150113
1828,600000.XSHG,long,20150113
1182,300142.XSHE,long_sell,20150113
1829,600000.XSHG,long,20150114
3,600000.XSHG,long_sell,20150114
1830,600000.XSHG,long,20150115
4,600000.XSHG,long_sell,20150115
1831,600000.XSHG,long,20150116
5,600000.XSHG,long_sell,20150116
1832,600000.XSHG,long,20150119
6,600000.XSHG,long_sell,20150119
1833,600000.XSHG,long,20150120
7,600000.XSHG,long_sell,20150120
1834,600000.XSHG,long,20150121
8,600000.XSHG,long_sell,20150121
9,600000.XSHG,long_sell,20150122
1835,600000.XSHG,long,20150122
1836,600000.XSHG,long,20150123
10,600000.XSHG,long_sell,20150123
1837,600000.XSHG,long,20150126
11,600000.XSHG,long_sell,20150126
12,600000.XSHG,long_sell,20150127
1838,600000.XSHG,long,20150127
1839,600000.XSHG,long,20150128
13,600000.XSHG,long_sell,20150128
1840,600000.XSHG,long,20150129
14,600000.XSHG,long_sell,20150129
1841,600000.XSHG,long,20150130
15,600000.XSHG,long_sell,20150130
1842,600000.XSHG,long,20150202
16,600000.XSHG,long_sell,20150202
17,600000.XSHG,long_sell,20150203
1843,600000.XSHG,long,20150203
18,600000.XSHG,long_sell,20150204
1844,600000.XSHG,long,20150204
619,002422.XSHE,long_sell,20150205
19,600000.XSHG,long_sell,20150205
1845,600000.XSHG,long,20150205
1183,300142.XSHE,long_sell,20150206
20,600000.XSHG,long_sell,20150206
620,002422.XSHE,long_sell,20150206
1846,600000.XSHG,long,20150206
1847,600000.XSHG,long,20150209
1184,300142.XSHE,long_sell,20150209
21,600000.XSHG,long_sell,20150209
621,002422.XSHE,long_sell,20150209
1185,300142.XSHE,long_sell,20150210
1848,600000.XSHG,long,20150210
622,002422.XSHE,long_sell,20150210
22,600000.XSHG,long_sell,20150210
1849,600000.XSHG,long,20150211
23,600000.XSHG,long_sell,20150211
623,002422.XSHE,long_sell,20150211
1186,300142.XSHE,long_sell,20150211
1850,600000.XSHG,long,20150212
24,600000.XSHG,long_sell,20150212
624,002422.XSHE,long_sell,20150212
1187,300142.XSHE,long_sell,20150212
1851,600000.XSHG,long,20150213
1188,300142.XSHE,long_sell,20150213
625,002422.XSHE,long_sell,20150213
