time code operation
20150106 000016.XSHE buy
20150119 000001.XSHE buy
20150312 000001.XSHE buy
20150505 000001.XSHE buy
20150505 000001.XSHE sell
20150525 000001.XSHE buy
20150525 000001.XSHE sell
20150529 000001.XSHE buy
20150529 000001.XSHE sell
20150604 000001.XSHE buy
20150604 000001.XSHE sell
20150616 000001.XSHE buy
20150616 000001.XSHE sell
20150917 000016.XSHE buy
20150917 000016.XSHE sell
20151013 000001.XSHE buy
20151013 000001.XSHE sell
20151123 000016.XSHE buy
20151127 000001.XSHE buy
20151127 000001.XSHE sell
20151202 000001.XSHE buy
20151202 000001.XSHE sell
20151203 000016.XSHE buy
20151203 000016.XSHE sell
20151204 000016.XSHE buy
20151204 000016.XSHE sell
20151208 000001.XSHE buy
20151208 000001.XSHE sell
20151210 000016.XSHE buy
20151210 000016.XSHE sell
20151218 000001.XSHE buy
20151218 000001.XSHE sell
20151222 000016.XSHE buy
20151222 000016.XSHE sell
20151223 000016.XSHE buy
20151223 000016.XSHE sell
20151230 000001.XSHE buy
20151230 000001.XSHE sell
20160219 000016.XSHE buy
20160219 000016.XSHE sell
20160304 000001.XSHE buy
20160304 000001.XSHE sell
20160421 000001.XSHE buy
20160421 000016.XSHE buy
20160421 000016.XSHE sell
20160421 000001.XSHE sell
20160503 000001.XSHE buy
20160509 000001.XSHE buy
20160509 000001.XSHE sell
20160531 000016.XSHE buy
20160531 000016.XSHE sell
20160601 000001.XSHE buy
20160601 000001.XSHE sell
20160613 000016.XSHE buy
20160613 000016.XSHE sell
20160616 000001.XSHE buy
20160616 000001.XSHE sell
20160623 000016.XSHE buy
20160623 000016.XSHE sell
20160624 000016.XSHE buy
20160624 000016.XSHE sell
20160627 000016.XSHE buy
20160627 000016.XSHE sell
20160726 000001.XSHE buy
20160826 000016.XSHE buy
20160826 000016.XSHE sell
20160912 000001.XSHE buy
20160912 000001.XSHE sell
20161014 000016.XSHE buy
20161014 000016.XSHE sell
20161024 000001.XSHE buy
20161024 000001.XSHE sell
20161031 000016.XSHE buy
20161031 000016.XSHE sell
20161102 000001.XSHE buy
20161102 000001.XSHE sell
20161111 000001.XSHE buy
20161111 000001.XSHE sell
20161114 000016.XSHE buy
20161114 000016.XSHE sell
20161213 000016.XSHE buy
20161213 000016.XSHE sell
20161215 000001.XSHE buy
20161215 000001.XSHE sell
20170120 000001.XSHE buy
20170120 000001.XSHE sell
20170210 000016.XSHE buy
20170210 000016.XSHE sell
20170301 000016.XSHE buy
20170301 000016.XSHE sell
20170309 000001.XSHE buy
20170309 000001.XSHE sell
20170313 000001.XSHE buy
20170313 000001.XSHE sell
20170317 000001.XSHE buy
20170317 000001.XSHE sell
20170327 000016.XSHE buy
20170327 000016.XSHE sell
20170328 000016.XSHE buy
20170328 000016.XSHE sell
20170411 000016.XSHE buy
20170411 000016.XSHE sell
20170424 000016.XSHE buy
20170424 000016.XSHE sell
20170502 000016.XSHE buy
20170502 000016.XSHE sell
20170508 000016.XSHE buy
20170508 000016.XSHE sell
20170522 000016.XSHE buy
20170522 000016.XSHE sell
20170525 000001.XSHE buy
20170525 000001.XSHE sell
20170811 000001.XSHE buy
20170811 000001.XSHE sell
20170823 000001.XSHE buy
20170823 000001.XSHE sell
20170925 000016.XSHE buy
20170925 000016.XSHE sell
20170926 000001.XSHE buy
20170926 000001.XSHE sell
20171010 000001.XSHE buy
20171010 000001.XSHE sell
20171013 000016.XSHE buy
20171013 000016.XSHE sell
20171016 000016.XSHE buy
20171016 000016.XSHE sell
20171025 000001.XSHE buy
20171025 000001.XSHE sell
20171027 000001.XSHE buy
20171027 000016.XSHE buy
20171027 000016.XSHE sell
20171027 000001.XSHE sell
20171106 000001.XSHE buy
20171107 000001.XSHE buy
20171107 000001.XSHE sell
20171127 000016.XSHE buy
20171127 000016.XSHE sell
20171207 000001.XSHE buy
20171207 000001.XSHE sell
20171211 000001.XSHE buy
20171211 000001.XSHE sell
20171212 000001.XSHE buy
20171212 000001.XSHE sell
20171221 000001.XSHE buy
20171221 000001.XSHE sell
20180104 000016.XSHE buy
20180104 000016.XSHE sell
20180108 000001.XSHE buy
20180108 000001.XSHE sell
20180111 000001.XSHE buy
20180111 000001.XSHE sell
20180206 000016.XSHE buy
20180206 000016.XSHE sell
20180207 000001.XSHE buy
20180207 000001.XSHE sell
20180308 000016.XSHE buy
20180308 000016.XSHE sell
20180413 000001.XSHE buy
20180413 000001.XSHE sell
20180416 000001.XSHE buy
20180416 000001.XSHE sell
20180417 000016.XSHE buy
20180417 000016.XSHE sell
20180419 000001.XSHE buy
20180419 000001.XSHE sell
20180420 000001.XSHE buy
20180420 000001.XSHE sell
20180423 000001.XSHE buy
20180423 000001.XSHE sell
20180427 000001.XSHE buy
20180427 000001.XSHE sell
20180522 000016.XSHE buy
20180522 000016.XSHE sell
20180523 000016.XSHE buy
20180523 000016.XSHE sell
20180703 000016.XSHE buy
20180703 000016.XSHE sell
20180705 000016.XSHE buy
20180705 000016.XSHE sell
20180724 000001.XSHE buy
20180724 000001.XSHE sell
20180802 000001.XSHE buy
20180802 000001.XSHE sell
20180809 000001.XSHE buy
20180809 000001.XSHE sell
20180813 000001.XSHE buy
20180813 000001.XSHE sell
20180822 000001.XSHE buy
20180822 000001.XSHE sell
20180921 000016.XSHE buy
20180921 000016.XSHE sell
20181011 000016.XSHE buy
20181011 000016.XSHE sell
20181015 000001.XSHE buy
20181015 000001.XSHE sell
20181016 000001.XSHE buy
20181016 000001.XSHE sell
20181018 000001.XSHE buy
20181018 000001.XSHE sell
20181019 000001.XSHE buy
20181019 000001.XSHE sell
20181112 000001.XSHE buy
20181112 000016.XSHE buy
20181112 000016.XSHE sell
20181112 000001.XSHE sell
20181127 000016.XSHE buy
20181127 000016.XSHE sell
20181204 000016.XSHE buy
20181204 000016.XSHE sell
20181206 000016.XSHE buy
20181206 000016.XSHE sell
20190110 000001.XSHE buy
20190110 000016.XSHE buy
20190110 000016.XSHE sell
20190125 000016.XSHE buy
20190125 000016.XSHE sell
20190212 000016.XSHE buy
20190212 000016.XSHE sell
20190326 000001.XSHE buy
20190326 000001.XSHE sell
20190327 000001.XSHE buy
20190327 000001.XSHE sell
20190328 000001.XSHE buy
20190328 000001.XSHE sell
20190329 000001.XSHE buy
20190329 000001.XSHE sell
20190423 000016.XSHE buy
20190423 000016.XSHE sell
20190506 000001.XSHE buy
20190506 000001.XSHE sell
