SZ300085	银之杰		
SH600446	金证股份	
SZ300399	京天利		
SZ002670	国盛金控	
SZ002668	奥马电器	
SZ300279	和晶科技	
SZ000627	天茂集团	
SZ002315	焦点科技	
SZ300061	康旗股份	
SZ000027	深圳能源	
SH601336	新华保险	
SZ002029	七 匹 狼	
SZ002312	三泰控股	
SZ000851	高鸿股份	
SZ300312	邦讯技术	
SZ002607	中公教育	
SZ000540	中天金融	
SH601318	中国平安	
SZ002197	证通电子	
SZ002024	苏宁易购	
SZ300178	腾邦国际	
SZ300253	卫宁健康	
SZ002403	爱仕达		
SZ002437	誉衡药业	
SZ300163	先锋新材	
