time operation sell_price hold_day buy_price buy_date
20160106 sell 11.53 40 12.75 20151110
20160510 sell 10.28 21 10.57 20160408
20160913 sell 9.19 12 9.45 20160826
20161223 sell 9.08 22 9.45 20161123
20170324 sell 9.19 31 9.31 20170209
20180213 sell 11.94 169 9.12 20170613
20181211 sell 10.23 68 10.27 20180829
20160106 sell 11.53 40 12.75 20151110
20160510 sell 10.28 21 10.57 20160408
20160913 sell 9.19 12 9.45 20160826
20161223 sell 9.08 22 9.45 20161123
20170324 sell 9.19 31 9.31 20170209
20180213 sell 11.94 169 9.12 20170613
20181211 sell 10.23 68 10.27 20180829
