time operation trade_price
20180102 noo 45.15
20180103 noo 45.65
20180104 noo 46.58
20180105 noo 47.88
20180108 noo 47.83
20180109 noo 49.4
20180110 noo 51.05
20180111 noo 50.8
20180112 noo 53.3
20180115 noo 54.6
20180116 noo 54.37
20180117 noo 52.04
20180118 noo 52.26
20180119 noo 51.45
20180122 noo 56.6
20180123 noo 56.79
20180124 noo 55.77
20180125 noo 55.4
20180126 noo 57.4
20180129 noo 55.78
20180130 noo 54.35
20180131 noo 55.94
20180201 noo 55.58
20180202 noo 55.49
20180205 noo 54.05
20180206 noo 53.42
20180207 noo 50.28
20180208 noo 51.0
20180209 noo 49.45
20180212 noo 51.51
20180213 noo 52.4
20180214 noo 54.24
20180222 noo 54.99
20180223 noo 54.06
20180226 noo 54.65
20180227 noo 52.01
20180228 noo 51.69
20180301 noo 51.58
20180302 noo 52.48
20180305 noo 51.63
20180306 noo 51.87
20180307 noo 51.72
20180308 noo 53.16
20180309 noo 53.04
20180312 noo 53.29
20180313 noo 53.0
20180314 noo 52.18
20180315 noo 53.8
20180316 noo 53.42
20180319 noo 52.93
20180320 noo 52.2
20180321 noo 51.7
20180322 noo 49.9
20180323 noo 48.88
20180326 noo 48.13
20180327 noo 47.44
20180328 noo 45.51
20180329 noo 47.1
20180330 noo 46.9
20180402 noo 45.97
20180403 noo 46.12
20180404 noo 46.8
20180409 noo 45.72
20180410 noo 47.68
20180427 noo 44.08
20180502 noo 45.2
20180503 noo 45.79
20180504 noo 45.88
20180507 noo 46.72
20180508 noo 48.0
20180509 noo 48.2
20180510 noo 48.21
20180511 noo 47.5
20180514 noo 48.58
20180515 noo 48.35
20180516 noo 47.88
20180517 noo 47.75
20180518 noo 48.27
20180521 noo 47.94
20180522 noo 46.8
20180523 noo 46.22
20180524 noo 45.61
20180525 noo 45.74
20180528 noo 46.63
20180529 noo 46.07
20180530 noo 45.33
20180531 noo 47.5
20180601 noo 46.58
20180604 noo 47.81
20180605 noo 48.55
20180606 noo 48.41
20180607 noo 47.98
20180608 noo 48.15
20180611 noo 48.93
20180612 noo 50.4
20180613 noo 49.88
20180614 noo 48.94
20180615 noo 49.01
20180619 noo 47.33
20180620 noo 47.88
20180621 noo 47.86
20180622 noo 48.06
20180625 noo 47.76
20180626 noo 47.3
20180627 noo 45.47
20180628 noo 45.18
20180629 noo 47.15
20180702 noo 45.35
20180703 noo 44.6
20180704 noo 43.18
20180705 noo 43.41
20180706 noo 44.2
20180724 noo 45.78
