time code operation
20190116 000001.XSHE long
20190117 000001.XSHE long
20190118 000001.XSHE long
20190121 000001.XSHE long
20190123 000001.XSHE long
20190124 000001.XSHE long
20190125 000001.XSHE long
20190128 000001.XSHE long
20190129 000001.XSHE long
20190130 000001.XSHE long
20190131 000001.XSHE long
20190201 000001.XSHE long
20190211 000001.XSHE long
20190212 000001.XSHE long
20190213 000001.XSHE long
20190214 000001.XSHE long
20190218 000001.XSHE long
20190220 000001.XSHE long
20190221 000001.XSHE long
20190222 000001.XSHE long
20190225 000001.XSHE long
20190226 000001.XSHE long
20190227 000001.XSHE long
20190228 000001.XSHE long
20190301 000001.XSHE long
20190304 000001.XSHE long
20190305 000001.XSHE long
20190306 000001.XSHE long
20190311 000001.XSHE long_sell
20190402 000001.XSHE long
20190403 000001.XSHE long
20190404 000001.XSHE long
20190408 000001.XSHE long
20190409 000001.XSHE long
20190410 000001.XSHE long
20190416 000001.XSHE long
20190417 000001.XSHE long
20190418 000001.XSHE long
20190419 000001.XSHE long
20190424 000001.XSHE long
20190425 000001.XSHE long_sell
20190116 000001.XSHE long
20190117 000001.XSHE long
20190118 000001.XSHE long
20190121 000001.XSHE long
20190123 000001.XSHE long
20190124 000001.XSHE long
20190125 000001.XSHE long
20190128 000001.XSHE long
20190129 000001.XSHE long
20190130 000001.XSHE long
20190131 000001.XSHE long
20190201 000001.XSHE long
20190211 000001.XSHE long
20190212 000001.XSHE long
20190213 000001.XSHE long
20190214 000001.XSHE long
20190218 000001.XSHE long
20190220 000001.XSHE long
20190221 000001.XSHE long
20190222 000001.XSHE long
20190225 000001.XSHE long
20190226 000001.XSHE long
20190227 000001.XSHE long
20190228 000001.XSHE long
20190301 000001.XSHE long
20190304 000001.XSHE long
20190305 000001.XSHE long
20190306 000001.XSHE long
20190311 000001.XSHE long_sell
20190116 000001.XSHE long
20190117 000001.XSHE long
20190118 000001.XSHE long
20190121 000001.XSHE long
20190123 000001.XSHE long
20190124 000001.XSHE long
20190125 000001.XSHE long
20190128 000001.XSHE long
20190129 000001.XSHE long
20190130 000001.XSHE long
20190131 000001.XSHE long
20190201 000001.XSHE long
20190211 000001.XSHE long
20190212 000001.XSHE long
20190213 000001.XSHE long
20190214 000001.XSHE long
20190218 000001.XSHE long
20190220 000001.XSHE long
20190221 000001.XSHE long
20190222 000001.XSHE long
20190225 000001.XSHE long
20190226 000001.XSHE long
20190227 000001.XSHE long
20190228 000001.XSHE long
20190301 000001.XSHE long
20190304 000001.XSHE long
20190305 000001.XSHE long
