time operation trade_price
20180102 noo 3.98
20180103 noo 4.0
20180104 noo 4.0
20180105 noo 3.98
20180108 noo 4.01
20180109 noo 3.96
20180110 noo 4.03
20180111 noo 4.09
20180112 noo 4.09
20180115 noo 4.18
20180116 noo 4.22
20180117 noo 4.24
20180118 noo 4.36
20180119 noo 4.4
20180122 noo 4.4
20180123 noo 4.68
20180124 noo 4.69
20180125 noo 4.63
20180126 noo 4.65
20180129 noo 4.6
20180130 noo 4.48
20180131 noo 4.54
20180201 noo 4.63
20180202 noo 4.58
20180205 noo 4.76
20180206 noo 4.76
20180207 noo 4.59
20180208 noo 4.42
20180209 noo 4.29
20180212 noo 4.21
20180213 noo 4.28
20180214 noo 4.28
20180222 noo 4.37
20180223 noo 4.39
20180226 noo 4.4
20180227 noo 4.32
20180228 noo 4.23
20180301 noo 4.22
20180302 noo 4.17
20180305 noo 4.16
20180306 noo 4.19
20180307 noo 4.22
20180308 noo 4.2
20180309 noo 4.18
20180312 noo 4.17
20180313 noo 4.19
20180314 noo 4.17
20180315 noo 4.17
20180316 noo 4.13
20180319 noo 4.13
20180320 noo 4.17
20180321 noo 4.17
20180322 noo 4.17
20180323 noo 4.12
20180326 noo 3.99
20180327 noo 3.97
20180328 noo 3.96
20180329 noo 3.99
20180330 noo 3.93
20180402 noo 3.88
20180403 noo 3.88
20180404 noo 3.85
20180409 noo 3.85
20180410 noo 3.93
20180411 noo 3.97
20180412 noo 3.91
20180413 noo 3.87
20180416 noo 3.77
20180417 noo 3.76
20180418 noo 3.78
20180419 noo 3.79
20180420 noo 3.78
20180423 noo 3.78
20180424 noo 3.84
20180425 noo 3.8
20180426 noo 3.79
20180427 noo 3.82
20180502 noo 3.81
20180503 noo 3.82
20180504 noo 3.8
20180507 noo 3.83
20180508 noo 3.87
20180509 noo 3.88
20180510 noo 3.88
20180511 noo 3.9
20180514 noo 3.9
20180515 noo 3.89
20180516 noo 3.85
20180517 noo 3.85
20180518 noo 3.9
20180521 noo 3.91
20180522 noo 3.88
20180523 noo 3.84
20180524 noo 3.81
20180525 noo 3.82
20180528 noo 3.82
20180529 noo 3.83
20180530 noo 3.76
20180531 noo 3.77
20180601 noo 3.76
20180604 noo 3.79
20180605 noo 3.79
20180606 noo 3.77
20180607 noo 3.78
20180608 noo 3.74
20180611 noo 3.74
20180612 noo 3.74
20180613 noo 3.73
20180614 noo 3.73
20180615 noo 3.75
20180619 noo 3.76
20180620 noo 3.73
20180621 noo 3.74
20180622 noo 3.74
20180625 noo 3.7
20180626 noo 3.65
20180627 noo 3.62
20180628 noo 3.56
20180629 noo 3.61
20180702 noo 3.47
20180703 noo 3.51
20180704 noo 3.53
20180705 noo 3.58
20180706 noo 3.6
20180709 noo 3.75
20180710 noo 3.73
20180711 noo 3.72
20180712 noo 3.79
20180713 noo 3.56
20180716 noo 3.5
20180717 noo 3.48
20180718 noo 3.46
20180719 noo 3.45
20180720 noo 3.55
20180723 noo 3.59
20180724 noo 3.61
20180725 noo 3.59
20180726 noo 3.57
20180727 noo 3.56
20180730 noo 3.6
20180731 noo 3.62
20180801 noo 3.56
20180802 noo 3.49
20180803 noo 3.49
20180806 noo 3.51
20180807 noo 3.56
20180808 noo 3.53
20180809 noo 3.56
20180810 noo 3.54
20180813 noo 3.5
20180814 noo 3.51
20180815 noo 3.45
20180816 noo 3.47
20180817 noo 3.45
20180820 noo 3.5
20180821 noo 3.52
20180822 noo 3.5
20180823 noo 3.5
20180824 noo 3.53
20180827 noo 3.55
20180828 noo 3.56
20180829 noo 3.56
20180830 noo 3.53
20180831 noo 3.55
20180903 noo 3.55
20180904 noo 3.58
20180905 noo 3.53
20180906 noo 3.5
20180907 noo 3.51
20180910 noo 3.52
20180911 noo 3.51
20180912 noo 3.49
20180913 noo 3.54
20180914 noo 3.54
20180917 noo 3.52
20180918 noo 3.55
20180919 noo 3.56
20180920 noo 3.57
20180921 noo 3.68
20180925 noo 3.65
20180926 noo 3.68
20180927 noo 3.68
20180928 noo 3.72
20181008 noo 3.62
20181009 noo 3.59
20181010 noo 3.6
20181011 noo 3.5
20181012 noo 3.55
20181015 noo 3.5
20181016 noo 3.51
20181017 noo 3.54
20181018 noo 3.52
20181022 noo 3.7
20181023 noo 3.62
20181024 noo 3.68
20181025 noo 3.71
20181026 noo 3.71
20181029 noo 3.7
20181030 noo 3.74
20181031 noo 3.72
20181101 noo 3.67
20181102 noo 3.71
20181105 noo 3.68
20181106 noo 3.66
20181107 noo 3.66
20181108 noo 3.67
20181109 noo 3.59
20181112 noo 3.61
20181113 noo 3.62
20181114 noo 3.58
20181115 noo 3.6
20181116 noo 3.6
20181119 noo 3.64
20181120 noo 3.6
20181121 noo 3.61
20181122 noo 3.61
20181123 noo 3.59
20181126 noo 3.6
20181127 noo 3.58
20181128 noo 3.6
20181129 noo 3.59
20181130 noo 3.61
20181203 noo 3.65
20181204 noo 3.66
20181205 noo 3.64
20181206 noo 3.61
20181207 noo 3.6
20181210 noo 3.57
20181211 noo 3.57
20181212 noo 3.59
20190110 noo 3.52
20190111 noo 3.53
20190114 noo 3.5
20190115 noo 3.52
20190116 noo 3.52
20190117 noo 3.53
20190118 noo 3.56
20190121 noo 3.57
20190122 noo 3.56
20190123 noo 3.57
20190124 noo 3.59
20190125 noo 3.62
20190128 noo 3.61
20190129 noo 3.64
20190130 noo 3.63
20190131 noo 3.68
20190201 noo 3.68
20190211 noo 3.67
20190212 noo 3.68
20190213 noo 3.72
20190214 noo 3.7
20190215 noo 3.65
20190218 noo 3.7
20190219 noo 3.68
20190220 noo 3.68
20190221 noo 3.67
20190222 noo 3.69
20190225 noo 3.88
20190226 noo 3.84
20190227 noo 3.88
