date,close,high,open,low,vol,settle,amount,percent,close_EMA_5,close_EMA_10,BIAS_5,BIAS_50,CCI,K,D,J,WR,RSI_6,RSI_12,ROC_6,ROC_12,Dea,MACD,close_EMA_26,close_EMA_12
20050104,0.2637995723,0.2711095138,0.2611414118,0.2564896308,0.0704,0.262470492,68.2368,0.506373216,0.2637995723,0.2637995723,,,,,,,,,,,,0.0,0.0,0.2637995723,0.2637995723
20050105,0.2797485356,0.2910457179,0.2644641124,0.2644641124,0.0464,0.2637995723,45.9126,6.0458639564,0.26911589340000003,0.2666993838090909,,,,,,,,,,,,0.00025445639452991163,0.002035651156239293,0.2649809769888889,0.26625325896153845
20050106,0.2757612948,0.2830712363,0.2777549152,0.2724385941,0.0427,0.2797485356,42.2664,-1.4252946157,0.2713310272,0.2683470039892562,,,,,,,,,,,,0.0005908680470131178,0.002691293219865649,0.26577951904897124,0.2677160337059172
20050107,0.2850648567,0.3023429002,0.2883875573,0.2764258349,0.1084,0.2757612948,109.5531,3.3737736507,0.2759089703666667,0.27138661357302785,,,,,,,,,,,,0.0011080986013379875,0.004137844434598957,0.2672080625786771,0.27038508339731454
20050110,0.2937038784,0.2996847396,0.2996847396,0.2897166376,0.0415,0.2850648567,42.0582,3.0305460543,0.2818406063777778,0.2754442980870228,5.038434712300542,,,,,,,,,,,0.0018468538247355553,0.005910041787180543,0.2691707156024788,0.2739725903208046
20050111,0.2870584771,0.2996847396,0.2990201995,0.2804130757,0.0539,0.2937038784,54.2425,-2.2626195452,0.2835798966185185,0.27755596699847324,0.9818461407627851,,,,,,,76.119403095697,,,,0.002575496799545353,0.005829143798478383,0.27049573497266555,0.2759858036714501
20050112,0.291710258,0.2943684186,0.2943684186,0.2790839954,0.0471,0.2870584771,47.1897,1.6204994182,0.28629001707901236,0.2801294744532963,1.7618465609994576,,,,,,,68.00000003611515,,10.58026192258538,,0.0033279513133139898,0.0060196361101490905,0.27206718112283845,0.278404950491227
20050113,0.2897166376,0.296362039,0.2923747982,0.2883875573,0.0961,0.291710258,97.1917,-0.6834248549,0.2874322239193416,0.2818725950254242,0.09183461237643521,,,50.0,50.0,50.0,,72.34042557959978,,3.563236525481915,,0.004016493406076789,0.005508336742102391,0.27337454826929486,0.28014521004642284
20050114,0.2830712363,0.2943684186,0.2883875573,0.2790839954,0.0502,0.2897166376,50.3511,-2.2937589684,0.28597856137956107,0.2820905298026198,-2.069129140435973,,,52.65700486779248,50.88566828926416,56.199678024849135,,46.511627890699835,,2.650822155916267,,0.004513704019828243,0.0039776849100116324,0.2740928214567545,0.28059536793158857
20050117,0.2618059519,0.2824066961,0.2711095138,0.2564896308,0.1159,0.2830712363,111.9757,-7.5123437576,0.27792102488637405,0.2784024247294162,-7.381885178390678,,,38.969404218753496,46.91358026576061,23.081052124739273,,11.290322490607723,,-8.159162468938593,,0.004515364330071469,1.3282481945809527e-05,0.273182682971069,0.2777046885421134
