date,close,high,open,low,vol,settle,amount,percent,close_EMA_5,close_EMA_3,close_EMA_10,close_EMA_20,BIAS_5,BIAS_50,CCI,K,D,J,WR,RSI_6,RSI_12,ROC_6,ROC_12,Dea,MACD,close_EMA_26,close_EMA_12
20100819,1.4738999808,1.4838999808,1.4738999808,1.4638999808,414.2537,1.4738999808,111323.8272,0.0,1.4770823775495712,1.4751246595548064,1.486153489797543,1.497838116583062,-0.2706543103028222,,,19.858195500427794,18.5420424847805,22.49050153172238,92.3076923076923,60.0,30.0,0.0,-2.642182476207086,-0.002958306041865713,-0.014278737451668494,1.499746611024265,1.489648936256565
20100820,1.4638999808,1.4738999808,1.4638999808,1.4638999808,429.5121,1.4738999808,115167.7312,-0.6784720897,1.4726882452997139,1.4695123201774032,1.4821073972525354,1.4946059131751515,-0.8130632262421675,,,13.238797000285196,16.77429398994873,6.167803020958125,100.0,40.0,30.0,0.0,-3.302728095258857,-0.004647394151034689,-0.013512704873351811,1.497091305081727,1.4856875584940163
20100823,1.4638999808,1.4738999808,1.4638999808,1.4638999808,146.6815,1.4638999808,39347.5936,0.0,1.4697588237998094,1.4667061504887016,1.478796957897529,1.4916815386632325,-0.40819103873547075,,-24.03755868544677,8.825864666856797,14.124817548918086,-1.772041097265781,100.0,0.0,30.0,-0.6784720897121006,-2.6597513472087435,-0.006177328321647417,-0.012239473364901823,1.494632688468266,1.4823356234641676
20100824,1.4738999808,1.4838999808,1.4638999808,1.4638999808,256.3052,1.4638999808,68891.2768,0.6831067786,1.4711392094665394,1.4703030656443508,1.477906598425251,1.4899880569619723,0.2721273591569805,,-9.836987071388387,14.217243111237865,14.155626069691348,14.340477194330902,80.0,50.0,36.36363636363637,-1.3387777131699137,-1.9948135104065579,-0.0073536826692430805,-0.009410834780765315,1.4930969323446905,1.4810378322850648
20100825,1.4638999808,1.4738999808,1.4638999808,1.4638999808,336.6945,1.4738999808,90258.1632,-0.6784720897,1.4687261332443597,1.4671015232221754,1.4753599406752054,1.4875034782798797,-0.2724981301396311,,-17.507815989281333,9.478162074158577,12.596471404513757,3.2415434134482197,100.0,33.33333333333333,44.44444444444444,-0.6784720897121006,-2.6597513472087435,-0.008389537224260616,-0.00828683644014027,1.490934195193232,1.4784012397489013
20100826,1.4738999808,1.4738999808,1.4638999808,1.4638999808,172.732,1.4638999808,46350.08,0.6831067786,1.4704507490962397,1.4705007520110875,1.475094493425168,1.48620790709132,0.40874719520944663,,-8.591731266150425,14.652108049439052,13.281683619488856,17.392956909339446,80.0,50.0,50.0,0.0,0.0,-0.009104362411873849,-0.005718601500905855,1.489672401534474,1.4777087383721472
20100827,1.4738999808,1.4738999808,1.4738999808,1.4638999808,153.4878,1.4738999808,41190.656,0.0,1.471600492997493,1.4722003664055436,1.474877309311501,1.4850357236350038,0.2721273591569957,,-4.975124378109891,20.879183144070478,15.814183461016064,31.0091825101793,75.0,66.66666666666666,55.55555555555556,0.0,0.0,-0.009559749610283278,-0.0036430975872754276,1.488504074072661,1.47712277566874
20100830,1.4838999808,1.4938999808,1.4738999808,1.4638999808,366.1373,1.4738999808,98690.2592,0.6784720897,1.4757003222649956,1.4780501736027718,1.4765177950366828,1.484927557650718,0.6784720897121006,,19.096334185847123,36.141677651602535,22.590014857878224,63.24500323905116,50.0,75.0,55.55555555555556,1.3662135570949534,1.3662135570949534,-0.009647321191132055,-0.0007005726467902151,1.4881630301265378,1.4781654226120107
20100831,1.4738999808,1.4838999808,1.4838999808,1.4638999808,228.8977,1.4838999808,61576.1216,-0.6738998672,1.4751002084433305,1.4759750772013858,1.4760418288118315,1.4838773122363638,1.5065106711278366e-14,,2.9582673005820337,35.20556287884613,26.795197531534193,52.02629357347,75.0,50.0,37.5,0.6831067785474767,0.0,-0.009637318384790261,8.002245073435166e-05,1.4871065079542016,1.4775092007947785
20100901,1.4638999808,1.4838999808,1.4638999808,1.4638999808,313.6429,1.4738999808,84247.6736,-0.6784720897,1.471366799228887,1.4699375290006929,1.4738342200824077,1.4819747092424242,-0.6784720897121006,,-10.476190476190041,23.470375252564086,25.686923438544156,19.03727888060395,100.0,50.0,42.857142857142854,-0.6784720897121006,-2.0081665697548705,-0.009704260968040935,-0.0005355406660053838,1.4853875059427792,1.4754154746417356
20100902,1.4738999808,1.4738999808,1.4738999808,1.4638999808,167.6088,1.4638999808,44976.6176,0.6831067786,1.4722111930859247,1.4719187549003463,1.4738461765765154,1.481205687486003,0.0,,-13.74386434627338,26.75802794615383,26.04395827441405,28.186167289633396,75.0,50.0,50.0,0.6831067785474767,0.0,-0.00963426005671634,0.0005600072905967597,1.484536578154425,1.4751823217430071
20100903,1.4738999808,1.4838999808,1.4738999808,1.4638999808,282.524,1.4738999808,75886.9056,0.0,1.4727741223239497,1.472909367850173,1.4738559591626035,1.4805099058968598,0.0,,11.07344632768377,28.949796408546995,27.012570985791697,32.82424725405758,66.66666666666666,50.0,50.0,0.0,0.0,-0.009460136751991295,0.0013929864378003608,1.4837486820540973,1.4749850385210062
20100906,1.4838999808,1.4838999808,1.4738999808,1.4638999808,243.962,1.4738999808,65657.76,0.6784720897,1.4764827418159665,1.4784046743250865,1.4756821449148574,1.4808327701733492,0.6784720897121006,,46.20462046204767,41.52208649458688,31.849076155390094,60.868107172980444,33.33333333333333,50.0,62.5,0.6784720897121006,0.6784720897121006,-0.009048773654836794,0.0032909047772360124,1.4837598893686088,1.47635656810239
20100907,1.4738999808,1.4838999808,1.4838999808,1.4638999808,171.2861,1.4838999808,46078.2496,-0.6738998672,1.4756218214773111,1.4761523275625432,1.4753581150757924,1.4801725045187446,1.5065106711278366e-14,,22.606689734720707,38.792502107502365,34.16355147276085,48.050403376985386,66.66666666666666,50.0,55.55555555555556,-0.6738998672005381,0.6831067785474767,-0.00864919775919021,0.0031966071651726748,1.483029525770934,1.4759786315943302
20100908,1.4838999808,1.4838999808,1.4638999808,1.4638999808,225.3965,1.4738999808,60567.1744,0.6784720897,1.4783812079182075,1.4800261541812716,1.476911181571103,1.4805275022598166,0.40598146545427094,,104.86891385768615,48.08389029389046,38.80366441313739,66.64434205539659,33.33333333333333,75.0,55.55555555555556,0.6784720897121006,1.3662135570949534,-0.008098698851020238,0.004403991265359779,1.4830940039212352,1.477197300702895
20100909,1.4738999808,1.4838999808,1.4738999808,1.4638999808,223.2502,1.4838999808,59933.952,-0.6738998672,1.4768874655454718,1.4769630674906358,1.4763636905218114,1.479896309739834,-0.2706543103028372,,42.42424242425636,43.16703797370475,40.258122266659846,48.984869387794575,66.66666666666666,50.0,55.55555555555556,0.6831067785474767,0.0,-0.0076235479715521335,0.003801207035744842,1.482412965171514,1.4766900207178344
