time operation sell_price buy_price buy_date
20150107 sell 6.63 6.72 20150106
20150108 sell 6.49 6.72 20150106
20150109 sell 6.37 6.49 20150108
20150122 sell 6.8 6.56 20150121
20150123 sell 6.61 6.56 20150121
20150126 sell 7.06 6.61 20150123
20150127 sell 7.6 6.61 20150123
20150128 sell 7.5 7.6 20150127
20150129 sell 7.6 7.6 20150127
20150130 sell 7.46 7.6 20150129
20150202 sell 7.42 7.6 20150129
20150203 sell 7.64 7.42 20150202
20150204 sell 7.55 7.42 20150202
20150205 sell 7.5 7.55 20150204
20150206 sell 7.52 7.5 20150205
20150209 sell 7.52 7.5 20150205
20150210 sell 7.78 7.52 20150209
20150211 sell 8.06 7.52 20150209
20150212 sell 8.31 8.06 20150211
20150213 sell 8.29 8.31 20150212
20150216 sell 8.65 8.29 20150213
20150217 sell 8.88 8.29 20150213
20150225 sell 9.49 8.88 20150217
20150226 sell 9.33 9.49 20150225
20150227 sell 9.6 9.33 20150226
20150302 sell 10.04 9.33 20150226
20150303 sell 10.0 10.04 20150302
20150304 sell 9.93 10.0 20150303
20150306 sell 9.15 10.0 20150303
20150318 sell 10.35 9.66 20150317
20150319 sell 10.0 9.66 20150317
20150320 sell 9.9 10.0 20150319
20150323 sell 10.02 10.0 20150319
20150325 sell 9.8 10.02 20150323
20150331 sell 9.81 9.97 20150330
20150403 sell 11.67 11.14 20150402
20150407 sell 11.65 11.14 20150402
20150408 sell 11.21 11.65 20150407
20150409 sell 11.65 11.65 20150407
20150410 sell 12.63 11.65 20150409
20150413 sell 13.65 12.63 20150410
20150414 sell 13.58 13.65 20150413
20150415 sell 13.9 13.65 20150413
20150416 sell 13.88 13.9 20150415
20150417 sell 14.82 13.88 20150416
20150420 sell 14.6 14.82 20150417
20150421 sell 14.94 14.6 20150420
20150422 sell 14.88 14.6 20150420
20150423 sell 14.45 14.88 20150422
20150504 sell 16.15 15.99 20150430
20150505 sell 16.8 16.15 20150504
20150506 sell 17.22 16.15 20150504
20150507 sell 16.73 17.22 20150506
20150508 sell 18.18 17.22 20150506
20150511 sell 20.0 18.18 20150508
20150512 sell 20.65 18.18 20150508
20150513 sell 20.16 20.65 20150512
20150514 sell 20.19 20.16 20150513
20150515 sell 19.47 20.16 20150513
20150522 sell 19.69 19.33 20150521
20150525 sell 19.99 19.69 20150522
20150526 sell 21.99 19.69 20150522
20150527 sell 24.0 19.69 20150522
20150605 sell 24.55 24.0 20150528
20150911 sell 27.14 30.17 20150611
20150915 sell 21.99 30.17 20150611
20151027 sell 7.0 7.8 20151020
20151116 sell 6.82 7.0 20151112
20151125 sell 8.23 8.16 20151124
20160218 sell 4.7 4.62 20160217
20160219 sell 5.17 4.7 20160218
20160222 sell 5.2 5.17 20160219
20160223 sell 5.08 5.2 20160222
20160224 sell 5.59 5.08 20160223
20160225 sell 5.17 5.08 20160223
20160226 sell 5.45 5.17 20160225
20160311 sell 5.08 5.32 20160309
20160531 sell 4.94 4.78 20160530
20160601 sell 4.92 4.94 20160531
20160630 sell 4.81 4.77 20160629
20160701 sell 4.74 4.81 20160630
20160706 sell 4.81 4.84 20160705
20160707 sell 4.83 4.81 20160706
20160708 sell 4.8 4.83 20160707
20160713 sell 4.96 4.93 20160712
20160714 sell 4.92 4.93 20160712
20160725 sell 5.02 4.92 20160722
20160726 sell 5.15 5.02 20160725
